destination,title,category,location,review_score,review_count,discount_price
다낭,신라 모노그램 다낭,리조트 ・ 5성급,디엔반 ・ 베트남,4.5,541,453764
다낭,라이즈마운트 프리미어 리조트 다낭,리조트 ・ 5성급,다낭 ・ 베트남,4.8,999,178570
다낭,멜리아 빈펄 다낭 리버프런트,호텔 ・ 5성급,베트남,4.4,758,198776
다낭,발코나 호텔 다낭,호텔 ・ 4성급,다낭 ・ 베트남,4.7,"1,531",179156
다낭,살라 다낭 비치 호텔,호텔 ・ 4성급,베트남,4.8,"1,378",198405
다낭,TMS 호텔 다낭 비치,호텔 ・ 5성급,다낭 ・ 베트남,4.6,414,241110
다낭,나만 리트리트 리조트,리조트 ・ 5성급,다낭 탄 루 호아하이 ・ 베트남,4.6,238,323010
다낭,다낭 - 미카즈키 재패니즈 리조트 앤 스파,리조트 ・ 5성급,다낭 ・ 베트남,4.4,507,628927
다낭,사티아 다낭 호텔 한 마켓,호텔 ・ 4성급,다낭 ・ 베트남,4.4,868,159602
다낭,더 펄 호이안,호텔 ・ 5성급,호이안 ・ 베트남,4.4,264,194370
다낭,민 토안 사피 오션 호텔,호텔 ・ 4성급,다낭 ・ 베트남,4.5,64,396283
다낭,라 시에스타 호이안 리조트 앤 스파,리조트 ・ 5성급,탄하 호이안 ・ 베트남,4.7,454,771381
다낭,푸라마 리조트 다낭,리조트 ・ 5성급,다낭 ・ 베트남,4.5,374,556136
다낭,플로렌스 호텔 다낭,호텔 ・ 4성급,다낭 ・ 베트남,4.4,281,108690
다낭,노보텔 다낭 프리미어 한리버,호텔 ・ 5성급,다낭 ・ 베트남,4.5,455,239723
다낭,힐튼 다낭,호텔 ・ 5성급,다낭 ・ 베트남,4.5,275,325392
다낭,발 솔레일 호텔,호텔 ・ 4성급,다낭 ・ 베트남,4.5,587,118520
다낭,호이안 히스토릭 호텔,호텔 ・ 4성급,손퐁 호이안 ・ 베트남,4.6,298,377093
다낭,센터 호텔,호텔 ・ 3성급,다낭 ・ 베트남,4.0,"1,713",62790
다낭,시실리아 다낭 호텔스 앤 스파,호텔 ・ 4성급,다낭 ・ 베트남,4.8,665,171553
다낭,벨 마리나 호이안 리조트,리조트 ・ 5성급,호이안 ・ 베트남,4.8,822,574184
다낭,크라운 플라자 다낭 시티 센터 바이 IHG,호텔 ・ 5성급,다낭 ・ 베트남,4.6,248,265198
다낭,멜리아 다낭 비치 리조트,호텔 ・ 5성급,다낭 탄 루 논 누옥 호아하이 ・ 베트남,4.5,248,382944
다낭,빈펄 리조트 앤 골프 남 호이안,리조트 ・ 5성급,호이안 ・ 베트남,4.3,201,236022
다낭,보코 마 벨르 다낭 바이 IHG,호텔 ・ 5성급,다낭 ・ 베트남,4.5,96,456573
다낭,M 빌리지 호텔 다낭 센터 - 프리 런드리 앤 키친,호텔 ・ 4성급,다낭 ・ 베트남,4.7,349,179397
다낭,뉴월드 호이아나 호텔,호텔 ・ 5성급,유이 쑤옌 ・ 베트남,4.6,111,247169
다낭,리버타운 호이안 리조트 앤 스파,리조트 ・ 5성급,호이안 ・ 베트남,4.7,401,361437
다낭,골든 로터스 호텔 다낭 - 루프탑 바 오션뷰,호텔 ・ 4성급,다낭 ・ 베트남,4.7,811,163538
다낭,네스타 호텔 다낭,호텔 ・ 4성급,다낭 ・ 베트남,4.7,626,202521
다낭,선 리버 호텔,호텔 ・ 3성급,다낭 ・ 베트남,4.2,320,99398
다낭,풀먼 다낭 비치 리조트,호텔 ・ 5성급,다낭 ・ 베트남,4.6,145,587732
다낭,어웨이큰 다낭 호텔,호텔 ・ 5성급,다낭 ・ 베트남,4.6,629,194699
다낭,실크 센스 호이안 리버 리조트,리조트 ・ 5성급,호이안 캄 안 ・ 베트남,4.7,392,242420
다낭,G8 럭셔리 호텔 다낭,호텔 ・ 4성급,다낭 ・ 베트남,4.5,687,113602
다낭,사누바 다낭 호텔 – 데일리 애프터눈 티 인클루시브,호텔 ・ 4성급,다낭 ・ 베트남,4.4,343,140920
다낭,모나크 호텔 다낭,호텔 ・ 4성급,다낭 ・ 베트남,4.8,714,366755
다낭,치크랜드 다낭 비치 호텔,호텔 ・ 4성급,다낭 ・ 베트남,4.5,101,193900
다낭,오션 빌라 다낭,리조트 ・ 5성급,다낭 ・ 베트남,4.8,505,240324
다낭,M 호텔 다낭,호텔 ・ 5성급,다낭 ・ 베트남,4.7,363,473287
다낭,더 세일 호텔 - 미케 비치,호텔 ・ 4성급,다낭 ・ 베트남,4.3,15,91094
다낭,그랜드 선라이즈 부티크 호텔,호텔 ・ 4성급,다낭 ・ 베트남,4.6,320,155605
다낭,푸라마 빌라 다낭,리조트 ・ 5성급,다낭 ・ 베트남,4.8,13,931131
다낭,루비 스타 다낭 센트럴 미케 비치,호텔 ・ 4성급,다낭 ・ 베트남,4.5,47,204197
다낭,팔라쪼 럭셔리 호텔 앤 비스트로 - 센트럴 미케비치 워킹스트리트,호텔 ・ 4성급,다낭 ・ 베트남,3.7,26,104540
다낭,아미스 호텔 앤 아파트먼트 - 미케 비치까지 50m,호텔,다낭 ・ 베트남,3.1,4,53322
다낭,알마니티 호이안 리조트 앤 스파,리조트 ・ 5성급,손퐁 호이안 ・ 베트남,4.6,108,256270
다낭,키엔 쿠옹 2 호텔,호텔 ・ 3성급,다낭 ・ 베트남,1.6,2,68941
다낭,다낭 비치 2 호텔,호텔,다낭 ・ 베트남,1.2,1,55476
다낭,오션 아파트먼트 비치 다낭,호텔 ・ 1성급,베트남,4.2,8,85860
다낭,AVA 센스 호텔 - 미케비치 바이 AVA LAND,아파트호텔,베트남,0,0,207462
다낭,실라 아니라 빌라 7베드룸 미케비치 다낭,호텔 ・ 4성급,베트남,0,0,1351514
나트랑,리게일리어 골드 호텔,호텔 ・ 5성급,냐짱 ・ 베트남,4.4,"1,444",104182
나트랑,모벤픽 리조트 깜라인,호텔 ・ 5성급,냐짱 ・ 베트남,4.4,485,332372
나트랑,미아리조트 냐짱,리조트 ・ 5성급,냐짱 캄람 ・ 베트남,4.7,228,555610
나트랑,벤타나 나트랑 호텔,호텔 ・ 4성급,냐짱 ・ 베트남,4.6,735,92278
나트랑,아미아나 리조트 냐짱,리조트 ・ 5성급,냐짱 ・ 베트남,4.6,746,874451
나트랑,메이플 호텔 앤 아파트먼트,아파트호텔 ・ 4성급,냐짱 ・ 베트남,4.0,63,218722
나트랑,The Anam Cam Ranh,리조트 ・ 5성급,냐짱 캄람 ・ 베트남,4.7,693,505826
나트랑,디셈버 호텔,호텔 ・ 5성급,냐짱 ・ 베트남,4.7,387,271230
나트랑,빈펄 엠파이어 나트랑 어필리에이티드 바이 멜리아,호텔 ・ 5성급,냐짱 ・ 베트남,4.5,651,145356
나트랑,하바나 나트랑 호텔,호텔 ・ 5성급,베트남,4.5,"2,695",200720
나트랑,아나 만다라 캠 란,리조트 ・ 5성급,베트남,4.5,266,391278
나트랑,선라이즈 나트랑 비치 호텔 앤 스파,호텔 ・ 5성급,냐짱 ・ 베트남,4.5,88,189884
