arrBaggage,baggage,depBaggage,time,year
20,61,41,00:00 ~ 00:59,2002
11,48,37,01:00 ~ 01:59,2002
59,76,16,02:00 ~ 02:59,2002
131,131,0,03:00 ~ 03:59,2002
"5,594","5,596",2,04:00 ~ 04:59,2002
"7,021","7,027",6,05:00 ~ 05:59,2002
"11,084","11,084",0,06:00 ~ 06:59,2002
"7,498","7,570",71,07:00 ~ 07:59,2002
"6,668","8,315","1,647",08:00 ~ 08:59,2002
"4,520","22,445","17,925",09:00 ~ 09:59,2002
"9,901","30,778","20,878",10:00 ~ 10:59,2002
"18,742","30,629","11,887",11:00 ~ 11:59,2002
"16,474","37,466","20,992",12:00 ~ 12:59,2002
"9,268","40,610","31,342",13:00 ~ 13:59,2002
"10,102","22,344","12,243",14:00 ~ 14:59,2002
"10,198","20,743","10,545",15:00 ~ 15:59,2002
"14,262","22,286","8,024",16:00 ~ 16:59,2002
"16,219","26,014","9,796",17:00 ~ 17:59,2002
"11,266","21,800","10,533",18:00 ~ 18:59,2002
"9,816","28,814","18,998",19:00 ~ 19:59,2002
"14,785","34,438","19,652",20:00 ~ 20:59,2002
"3,672","7,714","4,043",21:00 ~ 21:59,2002
353,998,645,22:00 ~ 22:59,2002
63,283,219,23:00 ~ 23:59,2002
44,67,23,00:00 ~ 00:59,2003
8,37,29,01:00 ~ 01:59,2003
33,44,11,02:00 ~ 02:59,2003
93,118,25,03:00 ~ 03:59,2003
"8,037","8,037",0,04:00 ~ 04:59,2003
"7,664","7,678",14,05:00 ~ 05:59,2003
"8,570","8,571",1,06:00 ~ 06:59,2003
"7,156","7,199",43,07:00 ~ 07:59,2003
"7,127","9,828","2,701",08:00 ~ 08:59,2003
"3,997","25,135","21,139",09:00 ~ 09:59,2003
"8,904","32,690","23,786",10:00 ~ 10:59,2003
"20,971","34,874","13,903",11:00 ~ 11:59,2003
"15,115","34,120","19,005",12:00 ~ 12:59,2003
"6,637","40,629","33,992",13:00 ~ 13:59,2003
"8,901","20,800","11,899",14:00 ~ 14:59,2003
"12,877","22,872","9,995",15:00 ~ 15:59,2003
"13,157","19,440","6,283",16:00 ~ 16:59,2003
"12,867","22,012","9,145",17:00 ~ 17:59,2003
"9,436","19,070","9,634",18:00 ~ 18:59,2003
"7,936","28,820","20,884",19:00 ~ 19:59,2003
"13,059","33,700","20,640",20:00 ~ 20:59,2003
"4,320","9,952","5,632",21:00 ~ 21:59,2003
307,"1,119",812,22:00 ~ 22:59,2003
