arrPassenger,depPassenger,passenger,time,year
"1,382","4,495","5,877",00:00 ~ 00:59,2002
"7,307","1,926","9,233",01:00 ~ 01:59,2002
"19,367","1,281","20,648",02:00 ~ 02:59,2002
"25,322","5,332","30,654",03:00 ~ 03:59,2002
"219,775",117,"219,892",04:00 ~ 04:59,2002
"388,173",212,"388,385",05:00 ~ 05:59,2002
"546,652",91,"546,743",06:00 ~ 06:59,2002
"354,576","4,919","359,495",07:00 ~ 07:59,2002
"248,619","104,316","352,935",08:00 ~ 08:59,2002
"87,276","663,568","750,844",09:00 ~ 09:59,2002
"276,105","1,201,311","1,477,416",10:00 ~ 10:59,2002
"873,742","880,673","1,754,415",11:00 ~ 11:59,2002
"552,200","693,417","1,245,617",12:00 ~ 12:59,2002
"361,811","1,085,619","1,447,430",13:00 ~ 13:59,2002
"436,958","523,839","960,797",14:00 ~ 14:59,2002
"775,837","344,089","1,119,926",15:00 ~ 15:59,2002
"810,822","410,782","1,221,604",16:00 ~ 16:59,2002
"1,079,142","482,182","1,561,324",17:00 ~ 17:59,2002
"649,473","420,858","1,070,331",18:00 ~ 18:59,2002
"359,178","782,522","1,141,700",19:00 ~ 19:59,2002
"424,950","825,799","1,250,749",20:00 ~ 20:59,2002
"214,343","252,251","466,594",21:00 ~ 21:59,2002
"22,923","35,863","58,786",22:00 ~ 22:59,2002
"3,311","8,545","11,856",23:00 ~ 23:59,2002
"3,771","2,123","5,894",00:00 ~ 00:59,2003
"3,094","2,288","5,382",01:00 ~ 01:59,2003
"17,070","1,074","18,144",02:00 ~ 02:59,2003
"21,418","4,865","26,283",03:00 ~ 03:59,2003
"190,128",453,"190,581",04:00 ~ 04:59,2003
"373,762",124,"373,886",05:00 ~ 05:59,2003
"440,424",312,"440,736",06:00 ~ 06:59,2003
"375,130","4,454","379,584",07:00 ~ 07:59,2003
"295,948","123,485","419,433",08:00 ~ 08:59,2003
"77,779","609,454","687,233",09:00 ~ 09:59,2003
"259,310","1,083,824","1,343,134",10:00 ~ 10:59,2003
"746,898","915,472","1,662,370",11:00 ~ 11:59,2003
"479,362","588,357","1,067,719",12:00 ~ 12:59,2003
"282,223","1,021,371","1,303,594",13:00 ~ 13:59,2003
"391,990","456,205","848,195",14:00 ~ 14:59,2003
"740,709","354,521","1,095,230",15:00 ~ 15:59,2003
"824,835","338,200","1,163,035",16:00 ~ 16:59,2003
"995,581","384,013","1,379,594",17:00 ~ 17:59,2003
"588,937","442,181","1,031,118",18:00 ~ 18:59,2003
"387,624","670,892","1,058,516",19:00 ~ 19:59,2003
"408,354","831,705","1,240,059",20:00 ~ 20:59,2003
"208,206","275,985","484,191",21:00 ~ 21:59,2003
"16,482","51,016","67,498",22:00 ~ 22:59,2003
"6,794","8,933","15,727",23:00 ~ 23:59,2003
"3,194","3,168","6,362",00:00 ~ 00:59,2004
"4,458","1,608","6,066",01:00 ~ 01:59,2004
"21,887","1,282","23,169",02:00 ~ 02:59,2004
"20,700","4,536","25,236",03:00 ~ 03:59,2004
"277,471","1,106","278,577",04:00 ~ 04:59,2004
"417,307","1,256","418,563",05:00 ~ 05:59,2004
"605,817",155,"605,972",06:00 ~ 06:59,2004
"459,719","2,531","462,250",07:00 ~ 07:59,2004
"308,966","182,688","491,654",08:00 ~ 08:59,2004
"73,167","771,218","844,385",09:00 ~ 09:59,2004
"252,850","1,301,310","1,554,160",10:00 ~ 10:59,2004
"860,360","1,060,800","1,921,160",11:00 ~ 11:59,2004
"561,089","525,882","1,086,971",12:00 ~ 12:59,2004
"289,964","1,064,265","1,354,229",13:00 ~ 13:59,2004
"555,453","654,263","1,209,716",14:00 ~ 14:59,2004
"852,173","332,379","1,184,552",15:00 ~ 15:59,2004
"878,609","344,259","1,222,868",16:00 ~ 16:59,2004
"984,991","595,978","1,580,969",17:00 ~ 17:59,2004
"637,039","522,501","1,159,540",18:00 ~ 18:59,2004
"509,530","732,669","1,242,199",19:00 ~ 19:59,2004
"538,405","885,473","1,423,878",20:00 ~ 20:59,2004
"285,450","387,702","673,152",21:00 ~ 21:59,2004
"42,853","80,546","123,399",22:00 ~ 22:59,2004
"13,924","23,127","37,051",23:00 ~ 23:59,2004
"5,982","47,409","53,391",00:00 ~ 00:59,2005
"16,274","5,228","21,502",01:00 ~ 01:59,2005
"15,191","2,973","18,164",02:00 ~ 02:59,2005
"29,879","2,227","32,106",03:00 ~ 03:59,2005
"299,490",700,"300,190",04:00 ~ 04:59,2005
"434,626",330,"434,956",05:00 ~ 05:59,2005
"696,963",106,"697,069",06:00 ~ 06:59,2005
"458,548",576,"459,124",07:00 ~ 07:59,2005
"316,644","256,139","572,783",08:00 ~ 08:59,2005
"84,673","985,420","1,070,093",09:00 ~ 09:59,2005
"228,822","1,448,393","1,677,215",10:00 ~ 10:59,2005
"918,249","1,050,089","1,968,338",11:00 ~ 11:59,2005
"629,319","585,315","1,214,634",12:00 ~ 12:59,2005
"401,907","1,033,364","1,435,271",13:00 ~ 13:59,2005
"499,651","876,606","1,376,257",14:00 ~ 14:59,2005
"928,344","383,975","1,312,319",15:00 ~ 15:59,2005
"1,018,778","363,097","1,381,875",16:00 ~ 16:59,2005
"1,049,198","528,287","1,577,485",17:00 ~ 17:59,2005
"687,249","678,215","1,365,464",18:00 ~ 18:59,2005
"552,873","750,400","1,303,273",19:00 ~ 19:59,2005
"580,258","972,539","1,552,797",20:00 ~ 20:59,2005
"411,139","423,953","835,092",21:00 ~ 21:59,2005
"109,925","81,221","191,146",22:00 ~ 22:59,2005
"43,662","35,751","79,413",23:00 ~ 23:59,2005
"15,963","48,614","64,577",00:00 ~ 00:59,2006
"6,221","5,582","11,803",01:00 ~ 01:59,2006
"23,379","1,547","24,926",02:00 ~ 02:59,2006
"69,436",382,"69,818",03:00 ~ 03:59,2006
"367,824",793,"368,617",04:00 ~ 04:59,2006
"443,741",0,"443,741",05:00 ~ 05:59,2006
"761,194",516,"761,710",06:00 ~ 06:59,2006
"489,108","2,012","491,120",07:00 ~ 07:59,2006
"479,803","284,734","764,537",08:00 ~ 08:59,2006
"155,095","1,158,633","1,313,728",09:00 ~ 09:59,2006
"140,691","1,515,629","1,656,320",10:00 ~ 10:59,2006
"951,992","974,434","1,926,426",11:00 ~ 11:59,2006
"702,577","577,194","1,279,771",12:00 ~ 12:59,2006
"497,793","998,738","1,496,531",13:00 ~ 13:59,2006
"473,647","989,335","1,462,982",14:00 ~ 14:59,2006
"859,124","519,039","1,378,163",15:00 ~ 15:59,2006
"974,457","320,869","1,295,326",16:00 ~ 16:59,2006
"1,119,613","539,899","1,659,512",17:00 ~ 17:59,2006
