startDt,endDt,ap_icao,int_dom_cls,dep_sch_cnt,dep_cnt,dep_cnl_cnt,arr_sch_cnt,arr_cnt,arr_cnl_cnt,year
,,인천공항,국제선,191599,191208,314,191581,191241,329,2018
,,인천공항,국내선,3530,3495,34,3571,3521,48,2018
,,인천공항,,0,0,0,2,2,0,2018
,,김포공항,국제선,10207,10189,17,10259,10232,22,2018
,,김포공항,국내선,63046,62262,786,63065,62165,875,2018
,,김포공항,,3,3,0,2,2,0,2018
,,청주공항,국제선,1483,1465,17,1485,1461,23,2018
,,청주공항,국내선,6499,6430,68,6490,6430,57,2018
,,양양공항,국제선,335,333,2,337,335,2,2018
,,양양공항,국내선,887,795,25,894,837,27,2018
,,군산공항,국제선,0,0,0,1,0,0,2018
,,군산공항,국내선,945,899,47,934,889,42,2018
,,원주공항,국내선,361,338,18,343,304,12,2018
,,김해공항,국제선,32155,31790,356,32150,31763,365,2018
,,김해공항,국내선,24558,24254,300,24531,24238,273,2018
,,제주공항,국제선,6360,6312,48,6348,6311,35,2018
,,제주공항,국내선,80152,79179,870,80033,79137,882,2018
,,제주공항,,0,0,0,1,1,0,2018
,,대구공항,국제선,6859,6763,88,6862,6767,90,2018
,,대구공항,국내선,6732,6666,61,6690,6606,55,2018
,,광주공항,국내선,7364,7237,117,7288,7122,100,2018
,,여수공항,국내선,2562,2501,59,2550,2497,52,2018
,,울산공항,국내선,3717,3607,110,3712,3602,103,2018
,,포항경주공항,국내선,1988,1885,104,1979,1872,107,2018
,,사천공항,국내선,994,960,38,995,961,34,2018
,,무안공항,국제선,1427,1402,24,1420,1391,28,2018
,,무안공항,국내선,907,900,6,926,902,17,2018
,,인천공항,국제선,200004,199463,385,200034,199551,368,2019
,,인천공항,국내선,3197,3160,31,3196,3159,36,2019
,,김포공항,국제선,10208,10181,22,10282,10257,21,2019
,,김포공항,국내선,61337,60762,565,61264,60640,591,2019
,,청주공항,국제선,2001,1993,6,1997,1984,8,2019
,,청주공항,국내선,7445,7376,59,7415,7372,37,2019
,,양양공항,국제선,247,244,3,252,249,3,2019
,,양양공항,국내선,1080,1049,29,1083,1049,30,2019
,,군산공항,국제선,3,0,1,3,0,0,2019
,,군산공항,국내선,990,973,16,985,969,13,2019
,,원주공항,국내선,464,450,14,464,437,14,2019
,,김해공항,국제선,32352,32133,213,32297,32063,221,2019
,,김해공항,국내선,24299,24022,274,24325,24029,282,2019
,,제주공항,국제선,8885,8788,88,8897,8790,105,2019
,,제주공항,국내선,80420,79739,602,80347,79710,622,2019
,,대구공항,국제선,9028,9008,19,9027,9007,14,2019
,,대구공항,국내선,6691,6632,52,6621,6570,36,2019
,,광주공항,국내선,6857,6784,66,6553,6425,52,2019
,,여수공항,국내선,2535,2491,44,2537,2495,41,2019
,,울산공항,국제선,2,2,0,2,2,0,2019
,,울산공항,국내선,3382,3308,78,3384,3302,80,2019
,,포항경주공항,국내선,615,578,37,610,565,36,2019
,,사천공항,국내선,992,974,21,991,971,20,2019
,,무안공항,국제선,2640,2631,8,2641,2630,9,2019
,,무안공항,국내선,765,760,5,771,756,13,2019
,,인천공항,국제선,80011,79381,577,80167,79513,615,2020
,,인천공항,국내선,985,970,13,891,883,8,2020
,,김포공항,국제선,1749,1746,3,1745,1739,6,2020
,,김포공항,국내선,55661,55278,376,55687,55297,384,2020
,,청주공항,국제선,223,222,1,223,221,2,2020
,,청주공항,국내선,6688,6633,54,6671,6632,38,2020
,,양양공항,국제선,81,81,0,80,80,0,2020
,,양양공항,국내선,1278,1202,73,1276,1196,76,2020
,,군산공항,국내선,526,506,20,524,505,19,2020
,,원주공항,국내선,211,202,9,211,202,9,2020
,,김해공항,국제선,4899,4744,150,4921,4759,155,2020
,,김해공항,국내선,22222,21999,219,22206,21969,226,2020
,,제주공항,국제선,1229,1211,18,1192,1171,21,2020
,,제주공항,국내선,68577,68109,441,68613,68140,465,2020
,,대구공항,국제선,965,941,22,949,925,23,2020
,,대구공항,국내선,5638,5604,34,5639,5597,40,2020
,,광주공항,국제선,1,1,0,0,0,0,2020
,,광주공항,국내선,6886,6793,89,6642,6527,80,2020
,,여수공항,국내선,2970,2922,50,2935,2884,49,2020
,,울산공항,국내선,2533,2469,68,2532,2466,66,2020
,,포항경주공항,국내선,436,419,16,437,420,17,2020
,,사천공항,국내선,194,188,5,195,190,5,2020
,,무안공항,국제선,381,354,27,383,357,26,2020
,,무안공항,국내선,131,127,3,123,121,1,2020
,,인천공항,국제선,74358,73538,770,74437,73656,778,2021
,,인천공항,국내선,560,551,6,417,409,8,2021
,,김포공항,국제선,88,87,1,68,68,0,2021
,,김포공항,국내선,70337,69789,537,70392,69807,579,2021
