last_yearmonth,this_yearmonth,sn_gubun,pass_gubun,carge_gubun,area_gubun,arvl_type,nation_gubun,nation_code,area_code,area_name,area_listorder,nation_name,pass,cargo,nation_code_b,flight_cnt,year_month,year,month,category_name
,,,,,,,,,,전체 합계,0,,171410,1902,총계,1149,201801,2018,1,부정기-유임여객-도착
,,,,,,,,01#115,01,일본,1,일본,42272,441,01#115,263,201801,2018,1,부정기-유임여객-도착
,,,,,,,,02#141,02,중국,2,중국,9499,91,02#141,68,201801,2018,1,부정기-유임여객-도착
,,,,,,,,03#107,03,아시아,3,대만,5614,62,03#107,38,201801,2018,1,부정기-유임여객-도착
,,,,,,,,03#120,03,아시아,3,라오스,1493,20,03#120,13,201801,2018,1,부정기-유임여객-도착
,,,,,,,,03#122,03,아시아,3,마카오,722,8,03#122,9,201801,2018,1,부정기-유임여객-도착
,,,,,,,,03#123,03,아시아,3,말레이시아,9976,111,03#123,73,201801,2018,1,부정기-유임여객-도착
,,,,,,,,03#143,03,아시아,3,몽골,325,4,03#143,3,201801,2018,1,부정기-유임여객-도착
,,,,,,,,03#137,03,아시아,3,베트남,37438,419,03#137,230,201801,2018,1,부정기-유임여객-도착
,,,,,,,,03#110,03,아시아,3,인도,0,0,03#110,3,201801,2018,1,부정기-유임여객-도착
,,,,,,,,03#111,03,아시아,3,인도네시아,2597,30,03#111,15,201801,2018,1,부정기-유임여객-도착
,,,,,,,,03#142,03,아시아,3,캄보디아,9104,95,03#142,57,201801,2018,1,부정기-유임여객-도착
,,,,,,,,03#135,03,아시아,3,태국,24682,295,03#135,106,201801,2018,1,부정기-유임여객-도착
,,,,,,,,03#128,03,아시아,3,필리핀,19616,213,03#128,131,201801,2018,1,부정기-유임여객-도착
,,,,,,,,03#109,03,아시아,3,홍콩,2408,22,03#109,25,201801,2018,1,부정기-유임여객-도착
,,,,,,,,04#227,04,미주,4,미국,175,5,04#227,44,201801,2018,1,부정기-유임여객-도착
,,,,,,,,04#205,04,미주,4,브라질,0,0,04#205,7,201801,2018,1,부정기-유임여객-도착
,,,,,,,,04#207,04,미주,4,칠레,0,0,,,201801,2018,1,부정기-유임여객-도착
,,,,,,,,04#206,04,미주,4,캐나다,0,0,,,201801,2018,1,부정기-유임여객-도착
,,,,,,,,04#223,04,미주,4,페루,0,0,,,201801,2018,1,부정기-유임여객-도착
,,,,,,,,05#316,05,유럽,5,네덜란드,722,18,05#316,4,201801,2018,1,부정기-유임여객-도착
