last_yearmonth,this_yearmonth,sn_gubun,pass_gubun,carge_gubun,area_gubun,arvl_type,nation_gubun,nation_code,area_code,area_name,area_listorder,nation_name,pass,cargo,nation_code_b,flight_cnt,year_month,year,month,category_name
,,,,,,,,,,전체 합계,0,,176470,1812,총계,1175,201801,2018,1,부정기-유임여객-출발
,,,,,,,,01#115,01,일본,1,일본,43694,364,01#115,259,201801,2018,1,부정기-유임여객-출발
,,,,,,,,02#141,02,중국,2,중국,9394,113,02#141,72,201801,2018,1,부정기-유임여객-출발
,,,,,,,,03#107,03,아시아,3,대만,5545,70,03#107,38,201801,2018,1,부정기-유임여객-출발
,,,,,,,,03#120,03,아시아,3,라오스,1381,18,03#120,12,201801,2018,1,부정기-유임여객-출발
,,,,,,,,03#122,03,아시아,3,마카오,918,14,03#122,10,201801,2018,1,부정기-유임여객-출발
,,,,,,,,03#123,03,아시아,3,말레이시아,9357,95,03#123,70,201801,2018,1,부정기-유임여객-출발
,,,,,,,,03#143,03,아시아,3,몽골,275,5,03#143,3,201801,2018,1,부정기-유임여객-출발
,,,,,,,,03#137,03,아시아,3,베트남,38827,388,03#137,234,201801,2018,1,부정기-유임여객-출발
,,,,,,,,03#110,03,아시아,3,인도,0,0,03#110,3,201801,2018,1,부정기-유임여객-출발
,,,,,,,,03#111,03,아시아,3,인도네시아,2432,26,03#111,14,201801,2018,1,부정기-유임여객-출발
,,,,,,,,03#142,03,아시아,3,캄보디아,8703,81,03#142,56,201801,2018,1,부정기-유임여객-출발
,,,,,,,,03#135,03,아시아,3,태국,24690,289,03#135,109,201801,2018,1,부정기-유임여객-출발
,,,,,,,,03#128,03,아시아,3,필리핀,23369,241,03#128,149,201801,2018,1,부정기-유임여객-출발
,,,,,,,,03#109,03,아시아,3,홍콩,1358,14,03#109,26,201801,2018,1,부정기-유임여객-출발
,,,,,,,,04#227,04,미주,4,미국,574,13,04#227,48,201801,2018,1,부정기-유임여객-출발
,,,,,,,,04#205,04,미주,4,브라질,0,0,04#205,8,201801,2018,1,부정기-유임여객-출발
,,,,,,,,05#316,05,유럽,5,네덜란드,1000,19,05#316,4,201801,2018,1,부정기-유임여객-출발
,,,,,,,,05#317,05,유럽,5,노르웨이,0,0,05#317,1,201801,2018,1,부정기-유임여객-출발
,,,,,,,,05#308,05,유럽,5,독일,0,0,05#308,1,201801,2018,1,부정기-유임여객-출발
,,,,,,,,05#331,05,유럽,5,러시아,805,9,05#331,13,201801,2018,1,부정기-유임여객-출발
,,,,,,,,05#303,05,유럽,5,벨기에,0,0,05#303,1,201801,2018,1,부정기-유임여객-출발
,,,,,,,,05#320,05,유럽,5,스페인,0,0,05#320,2,201801,2018,1,부정기-유임여객-출발
,,,,,,,,05#302,05,유럽,5,오스트리아,0,0,,,201801,2018,1,부정기-유임여객-출발
,,,,,,,,05#338,05,유럽,5,우즈베키스탄,122,1,05#338,1,201801,2018,1,부정기-유임여객-출발
,,,,,,,,05#312,05,유럽,5,이탈리아,0,0,05#312,11,201801,2018,1,부정기-유임여객-출발
,,,,,,,,05#149,05,유럽,5,카자흐스탄,830,16,05#149,7,201801,2018,1,부정기-유임여객-출발
,,,,,,,,06#227_01,06,대양주,6,괌,2004,21,06#227_01,18,201801,2018,1,부정기-유임여객-출발
,,,,,,,,06#407,06,대양주,6,뉴질랜드,1147,15,06#407,4,201801,2018,1,부정기-유임여객-출발
,,,,,,,,07#145,07,기타,7,북한,45,1,07#145,1,201801,2018,1,부정기-유임여객-출발
,,,,,,,,,,전체 합계,0,,146173,1586,총계,1012,201802,2018,2,부정기-유임여객-출발
,,,,,,,,01#115,01,일본,1,일본,36464,285,01#115,237,201802,2018,2,부정기-유임여객-출발
,,,,,,,,02#141,02,중국,2,중국,9455,122,02#141,65,201802,2018,2,부정기-유임여객-출발
