last_yearmonth,this_yearmonth,sn_gubun,pass_gubun,carge_gubun,area_gubun,arvl_type,nation_gubun,nation_code,area_code,area_name,area_listorder,nation_name,pass,cargo,nation_code_b,flight_cnt,year_month,year,month,category_name
,,,,,,,,,,전체 합계,0,,3212952,49070,총계,19903,201801,2018,1,정기-유임여객-도착
,,,,,,,,01#115,01,일본,1,일본,863290,9317,01#115,5101,201801,2018,1,정기-유임여객-도착
,,,,,,,,02#141,02,중국,2,중국,549089,7729,02#141,4322,201801,2018,1,정기-유임여객-도착
,,,,,,,,03#125,03,아시아,3,네팔,2537,73,03#125,18,201801,2018,1,정기-유임여객-도착
,,,,,,,,03#107,03,아시아,3,대만,201766,2412,03#107,885,201801,2018,1,정기-유임여객-도착
,,,,,,,,03#120,03,아시아,3,라오스,23955,305,03#120,159,201801,2018,1,정기-유임여객-도착
,,,,,,,,03#122,03,아시아,3,마카오,35824,365,03#122,217,201801,2018,1,정기-유임여객-도착
,,,,,,,,03#123,03,아시아,3,말레이시아,85541,1097,03#123,404,201801,2018,1,정기-유임여객-도착
,,,,,,,,03#124,03,아시아,3,몰디브공화국,1067,18,03#124,14,201801,2018,1,정기-유임여객-도착
,,,,,,,,03#143,03,아시아,3,몽골,10924,232,03#143,70,201801,2018,1,정기-유임여객-도착
,,,,,,,,03#106,03,아시아,3,미얀마,5586,122,03#106,31,201801,2018,1,정기-유임여객-도착
,,,,,,,,03#137,03,아시아,3,베트남,284074,4169,03#137,1557,201801,2018,1,정기-유임여객-도착
,,,,,,,,03#105,03,아시아,3,브루나이,731,13,03#105,8,201801,2018,1,정기-유임여객-도착
,,,,,,,,03#133,03,아시아,3,스리랑카,1710,42,,,201801,2018,1,정기-유임여객-도착
,,,,,,,,03#132,03,아시아,3,싱가포르,52675,796,03#132,277,201801,2018,1,정기-유임여객-도착
,,,,,,,,03#110,03,아시아,3,인도,10103,284,03#110,84,201801,2018,1,정기-유임여객-도착
,,,,,,,,03#111,03,아시아,3,인도네시아,25347,447,03#111,163,201801,2018,1,정기-유임여객-도착
,,,,,,,,03#142,03,아시아,3,캄보디아,27726,399,03#142,172,201801,2018,1,정기-유임여객-도착
,,,,,,,,03#135,03,아시아,3,태국,189605,3121,03#135,853,201801,2018,1,정기-유임여객-도착
,,,,,,,,03#128,03,아시아,3,필리핀,188175,3341,03#128,1111,201801,2018,1,정기-유임여객-도착
,,,,,,,,03#109,03,아시아,3,홍콩,156693,1860,03#109,905,201801,2018,1,정기-유임여객-도착
,,,,,,,,04#219,04,미주,4,멕시코,2655,50,04#219,27,201801,2018,1,정기-유임여객-도착
,,,,,,,,04#227,04,미주,4,미국,106977,5070,04#227,1242,201801,2018,1,정기-유임여객-도착
,,,,,,,,04#206,04,미주,4,캐나다,17735,809,04#206,115,201801,2018,1,정기-유임여객-도착
,,,,,,,,05#316,05,유럽,5,네덜란드,8557,183,05#316,45,201801,2018,1,정기-유임여객-도착
,,,,,,,,05#317,05,유럽,5,노르웨이,0,0,05#317,12,201801,2018,1,정기-유임여객-도착
,,,,,,,,05#308,05,유럽,5,독일,26465,545,05#308,179,201801,2018,1,정기-유임여객-도착
,,,,,,,,05#331,05,유럽,5,러시아,25764,475,05#331,298,201801,2018,1,정기-유임여객-도착
,,,,,,,,05#313,05,유럽,5,룩셈부르크,0,0,05#313,15,201801,2018,1,정기-유임여객-도착
,,,,,,,,05#303,05,유럽,5,벨기에,0,0,05#303,1,201801,2018,1,정기-유임여객-도착
,,,,,,,,05#321,05,유럽,5,스웨덴,0,0,05#321,8,201801,2018,1,정기-유임여객-도착
