last_yearmonth,this_yearmonth,sn_gubun,pass_gubun,carge_gubun,area_gubun,arvl_type,nation_gubun,nation_code,area_code,area_name,area_listorder,nation_name,pass,cargo,nation_code_b,flight_cnt,year_month,year,month,category_name
,,,,,,,,,,전체 합계,0,,3376377,51906,총계,19889,201801,2018,1,정기-유임여객-출발
,,,,,,,,01#115,01,일본,1,일본,906608,8954,01#115,5105,201801,2018,1,정기-유임여객-출발
,,,,,,,,02#141,02,중국,2,중국,561056,8797,02#141,4367,201801,2018,1,정기-유임여객-출발
,,,,,,,,03#125,03,아시아,3,네팔,2451,93,03#125,18,201801,2018,1,정기-유임여객-출발
,,,,,,,,03#107,03,아시아,3,대만,198493,2558,03#107,886,201801,2018,1,정기-유임여객-출발
,,,,,,,,03#120,03,아시아,3,라오스,24625,298,03#120,159,201801,2018,1,정기-유임여객-출발
,,,,,,,,03#122,03,아시아,3,마카오,37210,334,03#122,216,201801,2018,1,정기-유임여객-출발
,,,,,,,,03#123,03,아시아,3,말레이시아,93782,1271,03#123,405,201801,2018,1,정기-유임여객-출발
,,,,,,,,03#124,03,아시아,3,몰디브공화국,1046,16,03#124,13,201801,2018,1,정기-유임여객-출발
,,,,,,,,03#143,03,아시아,3,몽골,10624,271,03#143,70,201801,2018,1,정기-유임여객-출발
,,,,,,,,03#106,03,아시아,3,미얀마,6397,146,03#106,31,201801,2018,1,정기-유임여객-출발
,,,,,,,,03#137,03,아시아,3,베트남,303004,4546,03#137,1555,201801,2018,1,정기-유임여객-출발
,,,,,,,,03#105,03,아시아,3,브루나이,776,15,03#105,8,201801,2018,1,정기-유임여객-출발
,,,,,,,,03#133,03,아시아,3,스리랑카,1619,39,,,201801,2018,1,정기-유임여객-출발
,,,,,,,,03#132,03,아시아,3,싱가포르,61078,978,03#132,282,201801,2018,1,정기-유임여객-출발
,,,,,,,,03#110,03,아시아,3,인도,11958,313,03#110,84,201801,2018,1,정기-유임여객-출발
,,,,,,,,03#111,03,아시아,3,인도네시아,29955,626,03#111,164,201801,2018,1,정기-유임여객-출발
,,,,,,,,03#142,03,아시아,3,캄보디아,22972,364,03#142,172,201801,2018,1,정기-유임여객-출발
,,,,,,,,03#135,03,아시아,3,태국,197229,3198,03#135,852,201801,2018,1,정기-유임여객-출발
,,,,,,,,03#128,03,아시아,3,필리핀,190408,3519,03#128,1093,201801,2018,1,정기-유임여객-출발
,,,,,,,,03#109,03,아시아,3,홍콩,171726,2460,03#109,942,201801,2018,1,정기-유임여객-출발
,,,,,,,,04#219,04,미주,4,멕시코,3456,76,04#219,28,201801,2018,1,정기-유임여객-출발
,,,,,,,,04#227,04,미주,4,미국,125838,4909,04#227,1165,201801,2018,1,정기-유임여객-출발
,,,,,,,,04#206,04,미주,4,캐나다,20447,884,04#206,115,201801,2018,1,정기-유임여객-출발
,,,,,,,,05#316,05,유럽,5,네덜란드,8656,186,05#316,44,201801,2018,1,정기-유임여객-출발
,,,,,,,,05#317,05,유럽,5,노르웨이,0,0,05#317,12,201801,2018,1,정기-유임여객-출발
,,,,,,,,05#308,05,유럽,5,독일,30448,587,05#308,174,201801,2018,1,정기-유임여객-출발
,,,,,,,,05#331,05,유럽,5,러시아,29301,647,05#331,298,201801,2018,1,정기-유임여객-출발
,,,,,,,,05#313,05,유럽,5,룩셈부르크,0,0,05#313,15,201801,2018,1,정기-유임여객-출발
,,,,,,,,05#321,05,유럽,5,스웨덴,0,0,05#321,8,201801,2018,1,정기-유임여객-출발
,,,,,,,,05#322,05,유럽,5,스위스,853,18,05#322,16,201801,2018,1,정기-유임여객-출발
,,,,,,,,05#320,05,유럽,5,스페인,6947,114,05#320,39,201801,2018,1,정기-유임여객-출발
,,,,,,,,05#342,05,유럽,5,아제르바이잔,0,0,05#342,14,201801,2018,1,정기-유임여객-출발
,,,,,,,,05#305,05,유럽,5,영국,19083,468,05#305,93,201801,2018,1,정기-유임여객-출발
,,,,,,,,05#302,05,유럽,5,오스트리아,1952,43,05#302,4,201801,2018,1,정기-유임여객-출발
,,,,,,,,05#338,05,유럽,5,우즈베키스탄,7657,273,05#338,40,201801,2018,1,정기-유임여객-출발
,,,,,,,,05#312,05,유럽,5,이탈리아,17682,291,05#312,79,201801,2018,1,정기-유임여객-출발
,,,,,,,,05#326,05,유럽,5,체코,5988,118,05#326,31,201801,2018,1,정기-유임여객-출발
,,,,,,,,05#149,05,유럽,5,카자흐스탄,3956,85,05#149,27,201801,2018,1,정기-유임여객-출발
,,,,,,,,05#235,05,유럽,5,키르기즈스탄,0,0,,,201801,2018,1,정기-유임여객-출발
,,,,,,,,05#136,05,유럽,5,튀르키예,18418,311,05#136,82,201801,2018,1,정기-유임여객-출발
,,,,,,,,05#329,05,유럽,5,폴란드,4270,81,05#329,21,201801,2018,1,정기-유임여객-출발
,,,,,,,,05#307,05,유럽,5,프랑스,23178,460,05#307,92,201801,2018,1,정기-유임여객-출발
,,,,,,,,05#306,05,유럽,5,핀란드,8019,140,05#306,31,201801,2018,1,정기-유임여객-출발
,,,,,,,,06#227_01,06,대양주,6,괌,67315,694,06#227_01,358,201801,2018,1,정기-유임여객-출발
,,,,,,,,06#407,06,대양주,6,뉴질랜드,8316,204,06#407,31,201801,2018,1,정기-유임여객-출발
,,,,,,,,06#227_00,06,대양주,6,사이판,28756,346,06#227_00,172,201801,2018,1,정기-유임여객-출발
,,,,,,,,06#415,06,대양주,6,팔라우,1967,40,06#415,25,201801,2018,1,정기-유임여객-출발
,,,,,,,,06#403,06,대양주,6,피지,850,47,06#403,13,201801,2018,1,정기-유임여객-출발
,,,,,,,,06#227_02,06,대양주,6,하와이,31069,572,06#227_02,158,201801,2018,1,정기-유임여객-출발
,,,,,,,,06#401,06,대양주,6,호주,28303,628,06#401,102,201801,2018,1,정기-유임여객-출발
,,,,,,,,07#144,07,기타,7,아랍에미레이트,27931,574,07#144,97,201801,2018,1,정기-유임여객-출발
,,,,,,,,07#508,07,기타,7,에티오피아,2143,75,07#508,18,201801,2018,1,정기-유임여객-출발
,,,,,,,,07#114,07,기타,7,이스라엘,1486,45,07#114,13,201801,2018,1,정기-유임여객-출발
,,,,,,,,07#130,07,기타,7,카타르,9075,190,07#130,52,201801,2018,1,정기-유임여객-출발
,,,,,,,,,,전체 합계,0,,2907960,45352,총계,17968,201802,2018,2,정기-유임여객-출발
,,,,,,,,01#115,01,일본,1,일본,803075,7774,01#115,4628,201802,2018,2,정기-유임여객-출발
,,,,,,,,02#141,02,중국,2,중국,507819,9231,02#141,3939,201802,2018,2,정기-유임여객-출발
,,,,,,,,03#125,03,아시아,3,네팔,2062,92,03#125,16,201802,2018,2,정기-유임여객-출발
,,,,,,,,03#107,03,아시아,3,대만,170907,2277,03#107,799,201802,2018,2,정기-유임여객-출발
,,,,,,,,03#120,03,아시아,3,라오스,21495,240,03#120,144,201802,2018,2,정기-유임여객-출발
,,,,,,,,03#122,03,아시아,3,마카오,30692,284,03#122,200,201802,2018,2,정기-유임여객-출발
,,,,,,,,03#123,03,아시아,3,말레이시아,76155,941,03#123,367,201802,2018,2,정기-유임여객-출발
,,,,,,,,03#124,03,아시아,3,몰디브공화국,823,14,03#124,13,201802,2018,2,정기-유임여객-출발
,,,,,,,,03#143,03,아시아,3,몽골,11101,277,03#143,64,201802,2018,2,정기-유임여객-출발
,,,,,,,,03#106,03,아시아,3,미얀마,4740,111,03#106,28,201802,2018,2,정기-유임여객-출발
,,,,,,,,03#137,03,아시아,3,베트남,257383,4190,03#137,1391,201802,2018,2,정기-유임여객-출발
,,,,,,,,03#105,03,아시아,3,브루나이,585,10,03#105,7,201802,2018,2,정기-유임여객-출발
,,,,,,,,03#133,03,아시아,3,스리랑카,1459,43,,,201802,2018,2,정기-유임여객-출발
,,,,,,,,03#132,03,아시아,3,싱가포르,47707,747,03#132,255,201802,2018,2,정기-유임여객-출발
,,,,,,,,03#110,03,아시아,3,인도,7715,231,03#110,76,201802,2018,2,정기-유임여객-출발
