last_yearmonth,this_yearmonth,sn_gubun,pass_gubun,carge_gubun,area_gubun,arvl_type,nation_gubun,nation_code,area_code,area_name,area_listorder,nation_name,pass,cargo,nation_code_b,flight_cnt,year_month,year,month,category_name
,,,,,,,,,,전체 합계,0,,307831,49070,총계,19903,201801,2018,1,정기-환승여객-도착
,,,,,,,,01#115,01,일본,1,일본,38852,9317,01#115,5101,201801,2018,1,정기-환승여객-도착
,,,,,,,,02#141,02,중국,2,중국,42086,7729,02#141,4322,201801,2018,1,정기-환승여객-도착
,,,,,,,,03#125,03,아시아,3,네팔,1042,73,03#125,18,201801,2018,1,정기-환승여객-도착
,,,,,,,,03#107,03,아시아,3,대만,2438,2412,03#107,885,201801,2018,1,정기-환승여객-도착
,,,,,,,,03#120,03,아시아,3,라오스,491,305,03#120,159,201801,2018,1,정기-환승여객-도착
,,,,,,,,03#122,03,아시아,3,마카오,47,365,03#122,217,201801,2018,1,정기-환승여객-도착
,,,,,,,,03#123,03,아시아,3,말레이시아,1414,1097,03#123,404,201801,2018,1,정기-환승여객-도착
,,,,,,,,03#124,03,아시아,3,몰디브공화국,121,18,03#124,14,201801,2018,1,정기-환승여객-도착
,,,,,,,,03#143,03,아시아,3,몽골,2509,232,03#143,70,201801,2018,1,정기-환승여객-도착
,,,,,,,,03#106,03,아시아,3,미얀마,1124,122,03#106,31,201801,2018,1,정기-환승여객-도착
,,,,,,,,03#137,03,아시아,3,베트남,18971,4169,03#137,1557,201801,2018,1,정기-환승여객-도착
,,,,,,,,03#105,03,아시아,3,브루나이,0,13,03#105,8,201801,2018,1,정기-환승여객-도착
,,,,,,,,03#133,03,아시아,3,스리랑카,341,42,,,201801,2018,1,정기-환승여객-도착
,,,,,,,,03#132,03,아시아,3,싱가포르,3557,796,03#132,277,201801,2018,1,정기-환승여객-도착
,,,,,,,,03#110,03,아시아,3,인도,3681,284,03#110,84,201801,2018,1,정기-환승여객-도착
,,,,,,,,03#111,03,아시아,3,인도네시아,5160,447,03#111,163,201801,2018,1,정기-환승여객-도착
,,,,,,,,03#142,03,아시아,3,캄보디아,2266,399,03#142,172,201801,2018,1,정기-환승여객-도착
,,,,,,,,03#135,03,아시아,3,태국,21253,3121,03#135,853,201801,2018,1,정기-환승여객-도착
,,,,,,,,03#128,03,아시아,3,필리핀,31790,3341,03#128,1111,201801,2018,1,정기-환승여객-도착
,,,,,,,,03#109,03,아시아,3,홍콩,6009,1860,03#109,905,201801,2018,1,정기-환승여객-도착
,,,,,,,,04#219,04,미주,4,멕시코,178,50,04#219,27,201801,2018,1,정기-환승여객-도착
,,,,,,,,04#227,04,미주,4,미국,70996,5070,04#227,1242,201801,2018,1,정기-환승여객-도착
,,,,,,,,04#206,04,미주,4,캐나다,9570,809,04#206,115,201801,2018,1,정기-환승여객-도착
,,,,,,,,05#316,05,유럽,5,네덜란드,1215,183,05#316,45,201801,2018,1,정기-환승여객-도착
,,,,,,,,05#317,05,유럽,5,노르웨이,0,0,05#317,12,201801,2018,1,정기-환승여객-도착
,,,,,,,,05#308,05,유럽,5,독일,1405,545,05#308,179,201801,2018,1,정기-환승여객-도착
,,,,,,,,05#331,05,유럽,5,러시아,8522,475,05#331,298,201801,2018,1,정기-환승여객-도착
,,,,,,,,05#313,05,유럽,5,룩셈부르크,0,0,05#313,15,201801,2018,1,정기-환승여객-도착
,,,,,,,,05#303,05,유럽,5,벨기에,0,0,05#303,1,201801,2018,1,정기-환승여객-도착
,,,,,,,,05#321,05,유럽,5,스웨덴,0,0,05#321,8,201801,2018,1,정기-환승여객-도착
,,,,,,,,05#322,05,유럽,5,스위스,190,42,05#322,16,201801,2018,1,정기-환승여객-도착
,,,,,,,,05#320,05,유럽,5,스페인,360,127,05#320,39,201801,2018,1,정기-환승여객-도착
,,,,,,,,05#342,05,유럽,5,아제르바이잔,0,0,05#342,14,201801,2018,1,정기-환승여객-도착
,,,,,,,,05#305,05,유럽,5,영국,2666,406,05#305,93,201801,2018,1,정기-환승여객-도착
,,,,,,,,05#302,05,유럽,5,오스트리아,32,8,05#302,3,201801,2018,1,정기-환승여객-도착
,,,,,,,,05#338,05,유럽,5,우즈베키스탄,721,234,05#338,40,201801,2018,1,정기-환승여객-도착
,,,,,,,,05#312,05,유럽,5,이탈리아,1055,326,05#312,81,201801,2018,1,정기-환승여객-도착
,,,,,,,,05#326,05,유럽,5,체코,574,116,05#326,31,201801,2018,1,정기-환승여객-도착
,,,,,,,,05#149,05,유럽,5,카자흐스탄,309,69,05#149,27,201801,2018,1,정기-환승여객-도착
,,,,,,,,05#136,05,유럽,5,튀르키예,622,336,05#136,82,201801,2018,1,정기-환승여객-도착
,,,,,,,,05#329,05,유럽,5,폴란드,40,80,05#329,21,201801,2018,1,정기-환승여객-도착
,,,,,,,,05#307,05,유럽,5,프랑스,2150,460,05#307,92,201801,2018,1,정기-환승여객-도착
,,,,,,,,05#306,05,유럽,5,핀란드,71,160,05#306,31,201801,2018,1,정기-환승여객-도착
,,,,,,,,06#227_01,06,대양주,6,괌,2153,846,06#227_01,358,201801,2018,1,정기-환승여객-도착
,,,,,,,,06#407,06,대양주,6,뉴질랜드,2861,172,06#407,31,201801,2018,1,정기-환승여객-도착
,,,,,,,,06#227_00,06,대양주,6,사이판,2480,374,06#227_00,172,201801,2018,1,정기-환승여객-도착
,,,,,,,,06#415,06,대양주,6,팔라우,746,39,06#415,25,201801,2018,1,정기-환승여객-도착
,,,,,,,,06#403,06,대양주,6,피지,1556,42,06#403,14,201801,2018,1,정기-환승여객-도착
,,,,,,,,06#227_02,06,대양주,6,하와이,6675,710,06#227_02,158,201801,2018,1,정기-환승여객-도착
