last_yearmonth,this_yearmonth,sn_gubun,pass_gubun,carge_gubun,area_gubun,arvl_type,nation_gubun,nation_code,area_code,area_name,area_listorder,nation_name,pass,cargo,nation_code_b,flight_cnt,year_month,year,month,category_name
,,,,,,,,,,전체 합계,0,,283019,51906,총계,19889,201801,2018,1,정기-환승여객-출발
,,,,,,,,01#115,01,일본,1,일본,46813,8954,01#115,5105,201801,2018,1,정기-환승여객-출발
,,,,,,,,02#141,02,중국,2,중국,22679,8797,02#141,4367,201801,2018,1,정기-환승여객-출발
,,,,,,,,03#125,03,아시아,3,네팔,842,93,03#125,18,201801,2018,1,정기-환승여객-출발
,,,,,,,,03#107,03,아시아,3,대만,1725,2558,03#107,886,201801,2018,1,정기-환승여객-출발
,,,,,,,,03#120,03,아시아,3,라오스,273,298,03#120,159,201801,2018,1,정기-환승여객-출발
,,,,,,,,03#122,03,아시아,3,마카오,49,334,03#122,216,201801,2018,1,정기-환승여객-출발
,,,,,,,,03#123,03,아시아,3,말레이시아,656,1271,03#123,405,201801,2018,1,정기-환승여객-출발
,,,,,,,,03#124,03,아시아,3,몰디브공화국,83,16,03#124,13,201801,2018,1,정기-환승여객-출발
,,,,,,,,03#143,03,아시아,3,몽골,2188,271,03#143,70,201801,2018,1,정기-환승여객-출발
,,,,,,,,03#106,03,아시아,3,미얀마,833,146,03#106,31,201801,2018,1,정기-환승여객-출발
,,,,,,,,03#137,03,아시아,3,베트남,21465,4546,03#137,1555,201801,2018,1,정기-환승여객-출발
,,,,,,,,03#105,03,아시아,3,브루나이,13,15,03#105,8,201801,2018,1,정기-환승여객-출발
,,,,,,,,03#133,03,아시아,3,스리랑카,180,39,,,201801,2018,1,정기-환승여객-출발
,,,,,,,,03#132,03,아시아,3,싱가포르,2833,978,03#132,282,201801,2018,1,정기-환승여객-출발
,,,,,,,,03#110,03,아시아,3,인도,3295,313,03#110,84,201801,2018,1,정기-환승여객-출발
,,,,,,,,03#111,03,아시아,3,인도네시아,3307,626,03#111,164,201801,2018,1,정기-환승여객-출발
,,,,,,,,03#142,03,아시아,3,캄보디아,1789,364,03#142,172,201801,2018,1,정기-환승여객-출발
,,,,,,,,03#135,03,아시아,3,태국,14546,3198,03#135,852,201801,2018,1,정기-환승여객-출발
