startDt,endDt,airlineType,koreaAirport,ap1,ap2,arr_FP,dep_FP,total_FP,dep_PERSON,arr_PERSON,arr_WEIGHT,dep_WEIGHT,total_PERSON,total_WEIGHT,al_ICAO,ap_ROUTE,year
,,,,인천 (RKSI),광저우 (ZGGG),1,0,1,0,0,0,0,0,0,JJA,ZGGG,2018
,,,,인천 (RKSI),광주 (RKJJ),0,1,1,0,0,0,0,0,0,AAR,RKJJ,2018
,,,,인천 (RKSI),김포 (RKSS),108,170,278,0,59,0,0,59,0,AAR,RKSS,2018
,,,,인천 (RKSI),김포 (RKSS),0,3,3,0,0,0,0,0,0,ABL,RKSS,2018
,,,,인천 (RKSI),김포 (RKSS),3,3,6,0,0,0,0,0,0,AIH,RKSS,2018
,,,,인천 (RKSI),김포 (RKSS),0,1,1,0,0,0,0,0,0,ANA,RKSS,2018
,,,,인천 (RKSI),김포 (RKSS),2,0,2,0,0,0,0,0,0,ASV,RKSS,2018
,,,,인천 (RKSI),김포 (RKSS),22,39,61,0,0,0,0,0,0,ESR,RKSS,2018
,,,,인천 (RKSI),김포 (RKSS),0,1,1,0,0,0,0,0,0,JAL,RKSS,2018
,,,,인천 (RKSI),김포 (RKSS),59,82,141,0,0,0,0,0,0,JJA,RKSS,2018
,,,,인천 (RKSI),김포 (RKSS),41,53,94,0,188,0,0,188,0,JNA,RKSS,2018
,,,,인천 (RKSI),김포 (RKSS),88,97,185,0,0,0,0,0,0,KAL,RKSS,2018
,,,,인천 (RKSI),김포 (RKSS),7,18,25,0,0,0,0,0,0,TWB,RKSS,2018
,,,,인천 (RKSI),김해 (RKPK),654,659,1313,41228,51209,878,712,92437,1590,AAR,RKPK,2018
,,,,인천 (RKSI),김해 (RKPK),17,17,34,0,80,0,0,80,0,ABL,RKPK,2018
,,,,인천 (RKSI),김해 (RKPK),2,2,4,0,0,0,0,0,0,ESR,RKPK,2018
,,,,인천 (RKSI),김해 (RKPK),2,6,8,0,185,0,0,185,0,JJA,RKPK,2018
,,,,인천 (RKSI),김해 (RKPK),10,11,21,0,0,0,0,0,0,JNA,RKPK,2018
,,,,인천 (RKSI),김해 (RKPK),1507,1468,2975,181619,185290,3493,3479,366909,6972,KAL,RKPK,2018
,,,,인천 (RKSI),김해 (RKPK),2,4,6,0,0,0,0,0,0,TWB,RKPK,2018
,,,,인천 (RKSI),대구 (RKTN),1,0,1,0,0,0,0,0,0,ABL,RKTN,2018
,,,,인천 (RKSI),대구 (RKTN),2,2,4,0,0,0,0,0,0,JJA,RKTN,2018
,,,,인천 (RKSI),대구 (RKTN),739,738,1477,44424,47053,893,874,91477,1767,KAL,RKTN,2018
,,,,인천 (RKSI),대구 (RKTN),2,4,6,0,0,0,0,0,0,TWB,RKTN,2018
,,,,인천 (RKSI),무안 (RKJB),20,20,40,0,0,0,0,0,0,AIH,RKJB,2018
,,,,인천 (RKSI),무안 (RKJB),37,37,74,137,263,2,0,400,2,APV,RKJB,2018
,,,,인천 (RKSI),무안 (RKJB),1,0,1,0,143,0,0,143,0,JJA,RKJB,2018
