startDt,endDt,airlineType,koreaAirport,ap1,ap2,ap_ROUTE,arr_WEIGHT,total_PERSON,dep_WEIGHT,total_FP,dep_PERSON,arr_PERSON,total_WEIGHT,arr_FP,al_ICAO,dep_FP,year
,,,,인천 (RKSI), (LSMD),LSMD,0,0,0,1,0,0,0,0,,1,2018
,,,,인천 (RKSI), (OKBK),OKBK,0,0,0,4,0,0,0,4,GTI,0,2018
,,,,인천 (RKSI), (OKBK),OKBK,0,0,0,1,0,0,0,1,PAC,0,2018
,,,,인천 (RKSI), (OKBK),OKBK,0,0,0,1,0,0,0,1,WGN,0,2018
,,,,인천 (RKSI), (RPVT),RPVT,338,57917,321,537,29160,28757,659,270,GAP,267,2018
,,,,인천 (RKSI), (UTNN),UTNN,0,386,18,2,386,0,18,0,UZB,2,2018
,,,,인천 (RKSI), (UTNU),UTNU,0,122,1,1,122,0,1,0,UZB,1,2018
,,,,인천 (RKSI), (ZSNT),ZSNT,0,0,0,2,0,0,0,0,CYZ,2,2018
,,,,인천 (RKSI),EIELSON AFB (PAEI),PAEI,0,0,0,2,0,0,0,1,KAL,1,2018
,,,,인천 (RKSI),가고시마 (RJFK),RJFK,371,69864,284,516,33891,35973,655,258,ESR,258,2018
,,,,인천 (RKSI),가고시마 (RJFK),RJFK,66,18358,51,126,9386,8972,117,63,JJA,63,2018
,,,,인천 (RKSI),가고시마 (RJFK),RJFK,383,49887,378,360,25149,24738,761,180,KAL,180,2018
,,,,인천 (RKSI),가목사 (ZYJM),ZYJM,231,29606,204,226,15177,14429,435,113,JJA,113,2018
,,,,인천 (RKSI),가오슝 (RCKH),RCKH,826,100550,1032,734,51305,49245,1858,367,CAL,367,2018
,,,,인천 (RKSI),가오슝 (RCKH),RCKH,830,119366,1185,730,60581,58785,2015,365,EVA,365,2018
,,,,인천 (RKSI),가오슝 (RCKH),RCKH,350,70376,441,416,35526,34850,791,208,JJA,208,2018
,,,,인천 (RKSI),가오슝 (RCKH),RCKH,241,45849,198,314,21563,24286,439,157,TWB,157,2018
,,,,인천 (RKSI),간사이 (RJBB),RJBB,14607,566667,11356,2912,283894,282773,25963,1456,AAR,1456,2018
,,,,인천 (RKSI),간사이 (RJBB),RJBB,0,0,0,3,0,0,0,2,AHK,1,2018
,,,,인천 (RKSI),간사이 (RJBB),RJBB,0,0,0,1,0,0,0,0,ANA,1,2018
,,,,인천 (RKSI),간사이 (RJBB),RJBB,1293,437472,1222,2875,214723,222749,2515,1437,APJ,1438,2018
,,,,인천 (RKSI),간사이 (RJBB),RJBB,1402,352224,1155,1887,176326,175898,2557,944,ASV,943,2018
,,,,인천 (RKSI),간사이 (RJBB),RJBB,0,0,0,1,0,0,0,0,CSZ,1,2018
,,,,인천 (RKSI),간사이 (RJBB),RJBB,1283,261923,1209,1639,133895,128028,2492,819,ESR,820,2018
,,,,인천 (RKSI),간사이 (RJBB),RJBB,84,0,197,27,0,0,281,4,FDX,23,2018
,,,,인천 (RKSI),간사이 (RJBB),RJBB,2598,511619,2583,2948,254569,257050,5181,1474,JJA,1474,2018
,,,,인천 (RKSI),간사이 (RJBB),RJBB,3900,527137,3379,2778,266093,261044,7279,1389,JNA,1389,2018
,,,,인천 (RKSI),간사이 (RJBB),RJBB,27456,471839,20708,2719,236558,235281,48164,1358,KAL,1361,2018
,,,,인천 (RKSI),간사이 (RJBB),RJBB,0,0,0,1,0,0,0,0,RDA,1,2018
,,,,인천 (RKSI),간사이 (RJBB),RJBB,1762,338594,1482,2079,171390,167204,3244,1040,TWB,1039,2018
,,,,인천 (RKSI),개트윅 (EGKK),EGKK,0,0,0,2,0,0,0,1,KAL,1,2018
,,,,인천 (RKSI),계림 (ZGKL),ZGKL,344,57417,290,485,28568,28849,634,243,AAR,242,2018
,,,,인천 (RKSI),계림 (ZGKL),ZGKL,21,3619,16,38,1800,1819,37,19,CES,19,2018
,,,,인천 (RKSI),고마쓰 (RJNK),RJNK,233,39825,266,310,20077,19748,499,155,KAL,155,2018
,,,,인천 (RKSI),골드코스트 (YBCG),YBCG,5,681,4,4,341,340,9,2,JNA,2,2018
,,,,인천 (RKSI),과달라하라 (MMGL),MMGL,9137,0,14302,358,0,0,23439,179,KAL,179,2018
,,,,인천 (RKSI),괌 (PGUM),PGUM,870,134803,675,729,68090,66713,1545,364,ASV,365,2018
,,,,인천 (RKSI),괌 (PGUM),PGUM,1944,295872,1702,1782,146578,149294,3646,891,JJA,891,2018
,,,,인천 (RKSI),괌 (PGUM),PGUM,1464,238143,1158,1235,119418,118725,2622,616,JNA,619,2018
,,,,인천 (RKSI),괌 (PGUM),PGUM,2912,357695,5299,1470,178779,178916,8211,734,KAL,736,2018
,,,,인천 (RKSI),괌 (PGUM),PGUM,711,121729,566,765,61031,60698,1277,380,TWB,385,2018
,,,,인천 (RKSI),광저우 (ZGGG),ZGGG,9052,254075,5568,1572,126056,128019,14620,786,AAR,786,2018
,,,,인천 (RKSI),광저우 (ZGGG),ZGGG,0,0,0,4,0,0,0,1,ABL,3,2018
,,,,인천 (RKSI),광저우 (ZGGG),ZGGG,2074,175516,2221,1463,89323,86193,4295,732,CSN,731,2018
,,,,인천 (RKSI),광저우 (ZGGG),ZGGG,140,0,21,13,0,0,161,9,FDX,4,2018
,,,,인천 (RKSI),광저우 (ZGGG),ZGGG,0,0,0,7,0,0,0,1,JJA,6,2018
,,,,인천 (RKSI),광저우 (ZGGG),ZGGG,32100,139770,21678,1384,66919,72851,53778,692,KAL,692,2018
,,,,인천 (RKSI),구마모토 (RJFT),RJFT,264,34518,253,244,17396,17122,517,122,ASV,122,2018
,,,,인천 (RKSI),구마모토 (RJFT),RJFT,328,72754,283,480,35660,37094,611,240,TWB,240,2018
,,,,인천 (RKSI),구시로 (RJCK),RJCK,7,1068,5,12,533,535,12,6,KAL,6,2018
,,,,인천 (RKSI),군산 (RKJK),RKJK,0,0,0,1,0,0,0,0,GTI,1,2018
,,,,인천 (RKSI),글래스고 (EGPF),EGPF,2,315,3,3,173,142,5,1,KAL,2,2018
,,,,인천 (RKSI),기타규슈 (RJFR),RJFR,0,0,0,1,0,0,0,1,ADB,0,2018
,,,,인천 (RKSI),기타규슈 (RJFR),RJFR,685,163766,529,1170,82284,81482,1214,585,JNA,585,2018
,,,,인천 (RKSI),기타규슈 (RJFR),RJFR,1,274,0,4,137,137,1,2,KAL,2,2018
,,,,인천 (RKSI),기타규슈 (RJFR),RJFR,0,196,0,2,0,196,0,2,TWB,0,2018
,,,,인천 (RKSI),김포 (RKSS),RKSS,0,0,0,1,0,0,0,0,ANA,1,2018
,,,,인천 (RKSI),김포 (RKSS),RKSS,0,0,0,1,0,0,0,0,CSH,1,2018
,,,,인천 (RKSI),김포 (RKSS),RKSS,0,0,0,1,0,0,0,0,JAL,1,2018
,,,,인천 (RKSI),김해 (RKPK),RKPK,2,257,1,6,111,146,3,2,AAR,4,2018
,,,,인천 (RKSI),김해 (RKPK),RKPK,0,0,0,4,0,0,0,0,ABL,4,2018
,,,,인천 (RKSI),김해 (RKPK),RKPK,0,0,0,1,0,0,0,0,GTI,1,2018
,,,,인천 (RKSI),김해 (RKPK),RKPK,0,0,0,3,0,0,0,0,HVN,3,2018
,,,,인천 (RKSI),김해 (RKPK),RKPK,0,0,0,3,0,0,0,0,JJA,3,2018
,,,,인천 (RKSI),김해 (RKPK),RKPK,0,0,0,2,0,0,0,0,JNA,2,2018
,,,,인천 (RKSI),김해 (RKPK),RKPK,0,0,0,27,0,0,0,0,KAL,27,2018
,,,,인천 (RKSI),김해 (RKPK),RKPK,0,0,0,1,0,0,0,0,PAL,1,2018
,,,,인천 (RKSI),김해 (RKPK),RKPK,0,0,0,1,0,0,0,0,TWB,1,2018
,,,,인천 (RKSI),김해 (RKPK),RKPK,0,0,0,1,0,0,0,0,VJC,1,2018
,,,,인천 (RKSI),깜라인(나트랑) (VVCR),VVCR,314,47882,277,334,23861,24021,591,167,HVN,167,2018
,,,,인천 (RKSI),깜라인(나트랑) (VVCR),VVCR,469,92598,407,586,46758,45840,876,293,JJA,293,2018
,,,,인천 (RKSI),깜라인(나트랑) (VVCR),VVCR,553,74026,473,480,37026,37000,1026,240,KAL,240,2018
,,,,인천 (RKSI),깜라인(나트랑) (VVCR),VVCR,640,122481,532,756,60748,61733,1172,378,VJC,378,2018
,,,,인천 (RKSI),꾸이양 (ZUGY),ZUGY,137,17588,103,207,8520,9068,240,103,KAL,104,2018
,,,,인천 (RKSI),나가사키 (RJFU),RJFU,163,39657,138,314,20080,19577,301,157,ASV,157,2018
,,,,인천 (RKSI),나고야 (RJGG),RJGG,2373,230717,2111,1458,117218,113499,4484,729,AAR,729,2018
,,,,인천 (RKSI),나고야 (RJGG),RJGG,0,0,0,1,0,0,0,0,ABW,1,2018
,,,,인천 (RKSI),나고야 (RJGG),RJGG,0,0,0,1,0,0,0,1,ADB,0,2018
,,,,인천 (RKSI),나고야 (RJGG),RJGG,0,0,0,2,0,0,0,1,AHK,1,2018
,,,,인천 (RKSI),나고야 (RJGG),RJGG,0,0,0,1,0,0,0,1,ASV,0,2018
,,,,인천 (RKSI),나고야 (RJGG),RJGG,1310,259961,1594,1513,130442,129519,2904,756,JJA,757,2018
,,,,인천 (RKSI),나고야 (RJGG),RJGG,7977,296659,6946,1466,150369,146290,14923,735,KAL,731,2018
,,,,인천 (RKSI),나고야 (RJGG),RJGG,149,36819,136,249,18111,18708,285,126,TWB,123,2018
,,,,인천 (RKSI),나고야 (RJGG),RJGG,0,0,0,1,0,0,0,0,UZB,1,2018
