last_yearmonth,this_yearmonth,sn_gubun,airport_gubun,forreign_airport_gubun,pass_gubun,carge_gubun,di_gubun,pyn_gubun,arvl_type,code_name,airport_name,pass,cargo,flight_cnt,year_month
,,,,,,,,,,인천(ICN),간사이(KIX),294482,2909,1649.0,201801
,,,,,,,,,,인천(ICN),계림(KWL),4617,52,34.0,201801
,,,,,,,,,,인천(ICN),고마스(KMQ),1803,30,22.0,201801
,,,,,,,,,,인천(ICN),과달라하라(GDL),0,0,19.0,201801
,,,,,,,,,,인천(ICN),괌(GUM),103786,1228,496.0,201801
,,,,,,,,,,인천(ICN),광저우(CAN),55641,960,376.0,201801
,,,,,,,,,,인천(ICN),구마모도(KMJ),9061,77,58.0,201801
,,,,,,,,,,인천(ICN),구이양(KWE),1151,17,26.0,201801
,,,,,,,,,,인천(ICN),나가사키(NGS),3571,37,26.0,201801
,,,,,,,,,,인천(ICN),나고야(NGO),50117,687,364.0,201801
,,,,,,,,,,인천(ICN),나디(NAN),1458,90,27.0,201801
,,,,,,,,,,인천(ICN),나보이(NVI),0,0,,201801
,,,,,,,,,,인천(ICN),나트랑캄란(CXR),21033,234,138.0,201801
,,,,,,,,,,인천(ICN),난링(NNG),826,14,18.0,201801
,,,,,,,,,,인천(ICN),난징(NKG),16149,244,122.0,201801
,,,,,,,,,,인천(ICN),노보시비르스크(OVB),2119,34,18.0,201801
,,,,,,,,,,인천(ICN),뉴왁(EWR),0,0,,201801
,,,,,,,,,,인천(ICN),뉴욕 JFK(JFK),36260,1504,288.0,201801
,,,,,,,,,,인천(ICN),니이가타(KIJ),2646,47,34.0,201801
,,,,,,,,,,인천(ICN),다가마스(TAK),6258,57,46.0,201801
,,,,,,,,,,인천(ICN),다낭(DAD),175791,1987,840.0,201801
,,,,,,,,,,인천(ICN),달라스(DFW),16777,595,97.0,201801
,,,,,,,,,,인천(ICN),대련(DLC),38547,599,308.0,201801
,,,,,,,,,,인천(ICN),덴파사(DPS),16390,321,140.0,201801
,,,,,,,,,,인천(ICN),델리(DEL),18916,465,105.0,201801
,,,,,,,,,,인천(ICN),도모데도보(DME),0,0,,201801
,,,,,,,,,,인천(ICN),도쿄 나리타(NRT),207652,2534,1241.0,201801
,,,,,,,,,,인천(ICN),도쿄 하네다(HND),24961,318,183.0,201801
,,,,,,,,,,인천(ICN),도하(DOH),17066,338,104.0,201801
,,,,,,,,,,인천(ICN),돈무앙(DMK),59858,682,186.0,201801
,,,,,,,,,,인천(ICN),두바이(DXB),39777,768,132.0,201801
,,,,,,,,,,인천(ICN),디트로이트(DTW),11339,436,60.0,201801
,,,,,,,,,,인천(ICN),따이쭝(RMQ),9889,127,70.0,201801
,,,,,,,,,,인천(ICN),라스베가스(LAS),6688,273,46.0,201801
,,,,,,,,,,인천(ICN),라이프치히(LEJ),0,0,4.0,201801
,,,,,,,,,,인천(ICN),랑군(RGN),11983,268,62.0,201801
,,,,,,,,,,인천(ICN),런던히드로(LHR),35656,874,186.0,201801
