destination,type,total_price,departure_carrier,departure_flight_time,departure_stop,departure_add_day,departure_baggage,departure_dep_at,departure_arr_at,return_carrier,return_flight_time,return_stop,return_add_day,return_baggage,return_dep_at,return_arr_at
다낭,One-way,116900,에어서울,PT4H45M,0,0,0 QUANTITY,2026-03-22T20:55:00,2026-03-22T23:40:00,,,,,,,
다낭,One-way,136900,제주항공,PT5H10M,0,1,15 WEIGHT_KG,2026-03-22T21:20:00,2026-03-23T00:30:00,,,,,,,
다낭,One-way,180700,티웨이항공,PT5H15M,0,0,15 WEIGHT_KG,2026-03-22T20:20:00,2026-03-22T23:35:00,,,,,,,
다낭,One-way,134100,이스타항공,PT5H25M,0,1,15 WEIGHT_KG,2026-03-22T20:55:00,2026-03-23T00:20:00,,,,,,,
다낭,One-way,196800,파라타항공,PT4H40M,0,0,15 WEIGHT_KG,2026-03-22T18:45:00,2026-03-22T21:25:00,,,,,,,
다낭,One-way,159400,제주항공,PT5H,0,0,15 WEIGHT_KG,2026-03-22T10:25:00,2026-03-22T13:25:00,,,,,,,
다낭,One-way,195600,티웨이항공,PT5H20M,0,0,15 WEIGHT_KG,2026-03-22T19:00:00,2026-03-22T22:20:00,,,,,,,
다낭,One-way,188300,에어프레미아,PT5H,0,0,1 QUANTITY,2026-03-22T17:45:00,2026-03-22T20:45:00,,,,,,,
다낭,One-way,211800,티웨이항공,PT5H10M,0,0,15 WEIGHT_KG,2026-03-22T07:45:00,2026-03-22T10:55:00,,,,,,,
다낭,One-way,278900,대한항공,PT5H,0,0,1 QUANTITY,2026-03-22T18:30:00,2026-03-22T21:30:00,,,,,,,
다낭,One-way,279100,아시아나항공,PT5H,0,0,1 QUANTITY,2026-03-22T18:45:00,2026-03-22T21:45:00,,,,,,,
다낭,One-way,202000,진에어,PT5H15M,0,0,15 WEIGHT_KG,2026-03-22T09:15:00,2026-03-22T12:30:00,,,,,,,
다낭,One-way,278900,대한항공,PT5H5M,0,0,1 QUANTITY,2026-03-22T11:10:00,2026-03-22T14:15:00,,,,,,,
다낭,One-way,1624700,에바항공,PT7H35M,1,0,2 QUANTITY,2026-03-22T11:40:00,2026-03-22T17:15:00,,,,,,,
다낭,One-way,436500,필리핀항공,PT8H,1,0,20 WEIGHT_KG,2026-03-22T07:30:00,2026-03-22T13:30:00,,,,,,,
다낭,One-way,1249200,스쿠트항공,PT19H35M,2,1,30 WEIGHT_KG,2026-03-22T23:00:00,2026-03-23T16:35:00,,,,,,,
다낭,One-way,574500,캐세이퍼시픽,PT9H45M,1,0,1 QUANTITY,2026-03-22T10:00:00,2026-03-22T17:45:00,,,,,,,
다낭,One-way,1073600,싱가포르항공,PT20H5M,1,1,30 WEIGHT_KG,2026-03-22T16:55:00,2026-03-23T11:00:00,,,,,,,
다낭,One-way,2179200,타이항공,PT10H45M,1,0,2 QUANTITY,2026-03-22T10:50:00,2026-03-22T19:35:00,,,,,,,
다낭,One-way,637400,에어마카오,PT10H20M,1,0,1 QUANTITY,2026-03-22T14:05:00,2026-03-22T22:25:00,,,,,,,
다낭,One-way,387900,홍콩항공,PT15H25M,1,0,1 QUANTITY,2026-03-22T02:30:00,2026-03-22T15:55:00,,,,,,,
다낭,One-way,1002200,캐세이퍼시픽,PT15H45M,1,1,1 QUANTITY,2026-03-22T19:35:00,2026-03-23T09:20:00,,,,,,,
다낭,One-way,595600,에어마카오,PT15H55M,1,0,1 QUANTITY,2026-03-22T08:30:00,2026-03-22T22:25:00,,,,,,,
다낭,One-way,1002200,캐세이퍼시픽,PT18H5M,1,1,1 QUANTITY,2026-03-22T19:35:00,2026-03-23T11:40:00,,,,,,,
다낭,One-way,2179200,타이항공,PT12H,1,0,2 QUANTITY,2026-03-22T09:35:00,2026-03-22T19:35:00,,,,,,,
다낭,One-way,436500,필리핀항공,PT16H40M,1,1,20 WEIGHT_KG,2026-03-22T20:35:00,2026-03-23T11:15:00,,,,,,,
다낭,Round-trip,401500,에어서울,PT4H45M,0,0,0 QUANTITY,2026-03-22T20:55:00,2026-03-22T23:40:00,필리핀항공,PT15H45M,1.0,1.0,30 WEIGHT_KG,2026-03-25T12:25:00,2026-03-26T06:10:00
다낭,Round-trip,418700,이스타항공,PT5H25M,0,1,15 WEIGHT_KG,2026-03-22T20:55:00,2026-03-23T00:20:00,필리핀항공,PT15H45M,1.0,1.0,30 WEIGHT_KG,2026-03-25T12:25:00,2026-03-26T06:10:00
다낭,Round-trip,421500,제주항공,PT5H10M,0,1,15 WEIGHT_KG,2026-03-22T21:20:00,2026-03-23T00:30:00,필리핀항공,PT15H45M,1.0,1.0,30 WEIGHT_KG,2026-03-25T12:25:00,2026-03-26T06:10:00
다낭,Round-trip,444000,제주항공,PT5H,0,0,15 WEIGHT_KG,2026-03-22T10:25:00,2026-03-22T13:25:00,필리핀항공,PT15H45M,1.0,1.0,30 WEIGHT_KG,2026-03-25T12:25:00,2026-03-26T06:10:00
다낭,Round-trip,465300,티웨이항공,PT5H15M,0,0,15 WEIGHT_KG,2026-03-22T20:20:00,2026-03-22T23:35:00,필리핀항공,PT15H45M,1.0,1.0,30 WEIGHT_KG,2026-03-25T12:25:00,2026-03-26T06:10:00
다낭,Round-trip,472900,에어프레미아,PT5H,0,0,1 QUANTITY,2026-03-22T17:45:00,2026-03-22T20:45:00,필리핀항공,PT15H45M,1.0,1.0,30 WEIGHT_KG,2026-03-25T12:25:00,2026-03-26T06:10:00
다낭,Round-trip,480200,티웨이항공,PT5H20M,0,0,15 WEIGHT_KG,2026-03-22T19:00:00,2026-03-22T22:20:00,필리핀항공,PT15H45M,1.0,1.0,30 WEIGHT_KG,2026-03-25T12:25:00,2026-03-26T06:10:00
다낭,Round-trip,481400,파라타항공,PT4H40M,0,0,15 WEIGHT_KG,2026-03-22T18:45:00,2026-03-22T21:25:00,필리핀항공,PT15H45M,1.0,1.0,30 WEIGHT_KG,2026-03-25T12:25:00,2026-03-26T06:10:00
다낭,Round-trip,486600,진에어,PT5H15M,0,0,15 WEIGHT_KG,2026-03-22T09:15:00,2026-03-22T12:30:00,필리핀항공,PT15H45M,1.0,1.0,30 WEIGHT_KG,2026-03-25T12:25:00,2026-03-26T06:10:00
다낭,Round-trip,495000,진에어,PT5H15M,0,0,15 WEIGHT_KG,2026-03-22T09:15:00,2026-03-22T12:30:00,진에어,PT4H35M,0.0,0.0,15 WEIGHT_KG,2026-03-25T13:30:00,2026-03-25T20:05:00
