C1_OBJ_NM,C2_NM,C3,DT,C2,C1,PRD_SE,UNIT_NM_ENG,ITM_ID,TBL_ID,ITM_NM,TBL_NM,PRD_DE,LST_CHN_DE,C1_NM,UNIT_NM,C3_NM,C3_OBJ_NM,ORG_ID,C2_OBJ_NM
노선별,계,C01,11071,B01,A01,M,Flight,T001,DT_920005_B004,운항,국내선 노선별 통계,200501,2020-11-23,합계,편,계,항공사별,381,도착출발별
노선별,계,C01,10151,B01,A01,M,Flight,T001,DT_920005_B004,운항,국내선 노선별 통계,200502,2020-11-23,합계,편,계,항공사별,381,도착출발별
노선별,계,C01,10954,B01,A01,M,Flight,T001,DT_920005_B004,운항,국내선 노선별 통계,200503,2020-11-23,합계,편,계,항공사별,381,도착출발별
노선별,계,C01,11268,B01,A01,M,Flight,T001,DT_920005_B004,운항,국내선 노선별 통계,200504,2020-11-23,합계,편,계,항공사별,381,도착출발별
노선별,계,C01,11718,B01,A01,M,Flight,T001,DT_920005_B004,운항,국내선 노선별 통계,200505,2020-11-23,합계,편,계,항공사별,381,도착출발별
노선별,계,C01,10719,B01,A01,M,Flight,T001,DT_920005_B004,운항,국내선 노선별 통계,200506,2020-11-23,합계,편,계,항공사별,381,도착출발별
노선별,계,C01,10060,B01,A01,M,Flight,T001,DT_920005_B004,운항,국내선 노선별 통계,200507,2020-11-23,합계,편,계,항공사별,381,도착출발별
노선별,계,C01,10163,B01,A01,M,Flight,T001,DT_920005_B004,운항,국내선 노선별 통계,200508,2020-11-23,합계,편,계,항공사별,381,도착출발별
노선별,계,C01,10590,B01,A01,M,Flight,T001,DT_920005_B004,운항,국내선 노선별 통계,200509,2020-11-23,합계,편,계,항공사별,381,도착출발별
노선별,계,C01,11222,B01,A01,M,Flight,T001,DT_920005_B004,운항,국내선 노선별 통계,200510,2020-11-23,합계,편,계,항공사별,381,도착출발별
노선별,계,C01,10516,B01,A01,M,Flight,T001,DT_920005_B004,운항,국내선 노선별 통계,200511,2020-11-23,합계,편,계,항공사별,381,도착출발별
노선별,계,C01,9339,B01,A01,M,Flight,T001,DT_920005_B004,운항,국내선 노선별 통계,200512,2020-11-23,합계,편,계,항공사별,381,도착출발별
노선별,계,C01,1405931,B01,A01,M,In Person,T002,DT_920005_B004,여객,국내선 노선별 통계,200501,2020-11-23,합계,명,계,항공사별,381,도착출발별
노선별,계,C01,1292179,B01,A01,M,In Person,T002,DT_920005_B004,여객,국내선 노선별 통계,200502,2020-11-23,합계,명,계,항공사별,381,도착출발별
노선별,계,C01,1312866,B01,A01,M,In Person,T002,DT_920005_B004,여객,국내선 노선별 통계,200503,2020-11-23,합계,명,계,항공사별,381,도착출발별
노선별,계,C01,1662022,B01,A01,M,In Person,T002,DT_920005_B004,여객,국내선 노선별 통계,200504,2020-11-23,합계,명,계,항공사별,381,도착출발별
노선별,계,C01,1674483,B01,A01,M,In Person,T002,DT_920005_B004,여객,국내선 노선별 통계,200505,2020-11-23,합계,명,계,항공사별,381,도착출발별
노선별,계,C01,1462649,B01,A01,M,In Person,T002,DT_920005_B004,여객,국내선 노선별 통계,200506,2020-11-23,합계,명,계,항공사별,381,도착출발별
노선별,계,C01,1338212,B01,A01,M,In Person,T002,DT_920005_B004,여객,국내선 노선별 통계,200507,2020-11-23,합계,명,계,항공사별,381,도착출발별
노선별,계,C01,1622609,B01,A01,M,In Person,T002,DT_920005_B004,여객,국내선 노선별 통계,200508,2020-11-23,합계,명,계,항공사별,381,도착출발별
노선별,계,C01,1345004,B01,A01,M,In Person,T002,DT_920005_B004,여객,국내선 노선별 통계,200509,2020-11-23,합계,명,계,항공사별,381,도착출발별
