C1_OBJ_NM,C2_NM,DT,C2,C1,PRD_SE,UNIT_NM_ENG,ITM_ID,TBL_ID,ITM_NM,TBL_NM,PRD_DE,LST_CHN_DE,C1_NM,UNIT_NM,ORG_ID,C2_OBJ_NM
요일별,계,37260,B01,A01,M,Flight,T001,DT_920005_B002,운항,요일별 통계,200501,2020-11-16,합계,편,381,도착출발별
요일별,계,34223,B01,A01,M,Flight,T001,DT_920005_B002,운항,요일별 통계,200502,2020-11-16,합계,편,381,도착출발별
요일별,계,36698,B01,A01,M,Flight,T001,DT_920005_B002,운항,요일별 통계,200503,2020-11-16,합계,편,381,도착출발별
요일별,계,37467,B01,A01,M,Flight,T001,DT_920005_B002,운항,요일별 통계,200504,2020-11-16,합계,편,381,도착출발별
요일별,계,39033,B01,A01,M,Flight,T001,DT_920005_B002,운항,요일별 통계,200505,2020-11-16,합계,편,381,도착출발별
요일별,계,36722,B01,A01,M,Flight,T001,DT_920005_B002,운항,요일별 통계,200506,2020-11-16,합계,편,381,도착출발별
요일별,계,36444,B01,A01,M,Flight,T001,DT_920005_B002,운항,요일별 통계,200507,2020-11-16,합계,편,381,도착출발별
요일별,계,37006,B01,A01,M,Flight,T001,DT_920005_B002,운항,요일별 통계,200508,2020-11-16,합계,편,381,도착출발별
요일별,계,36720,B01,A01,M,Flight,T001,DT_920005_B002,운항,요일별 통계,200509,2020-11-16,합계,편,381,도착출발별
요일별,계,38840,B01,A01,M,Flight,T001,DT_920005_B002,운항,요일별 통계,200510,2020-11-16,합계,편,381,도착출발별
요일별,계,36805,B01,A01,M,Flight,T001,DT_920005_B002,운항,요일별 통계,200511,2020-11-16,합계,편,381,도착출발별
요일별,계,34731,B01,A01,M,Flight,T001,DT_920005_B002,운항,요일별 통계,200512,2020-11-16,합계,편,381,도착출발별
요일별,계,38665,B01,A01,M,Flight,T001,DT_920005_B002,운항,요일별 통계,200601,2020-11-16,합계,편,381,도착출발별
요일별,계,33938,B01,A01,M,Flight,T001,DT_920005_B002,운항,요일별 통계,200602,2020-11-16,합계,편,381,도착출발별
요일별,계,38084,B01,A01,M,Flight,T001,DT_920005_B002,운항,요일별 통계,200603,2020-11-16,합계,편,381,도착출발별
요일별,계,37480,B01,A01,M,Flight,T001,DT_920005_B002,운항,요일별 통계,200604,2020-11-16,합계,편,381,도착출발별
요일별,계,38511,B01,A01,M,Flight,T001,DT_920005_B002,운항,요일별 통계,200605,2020-11-16,합계,편,381,도착출발별
요일별,계,37292,B01,A01,M,Flight,T001,DT_920005_B002,운항,요일별 통계,200606,2020-11-16,합계,편,381,도착출발별
요일별,계,39040,B01,A01,M,Flight,T001,DT_920005_B002,운항,요일별 통계,200607,2020-11-16,합계,편,381,도착출발별
요일별,계,42319,B01,A01,M,Flight,T001,DT_920005_B002,운항,요일별 통계,200608,2020-11-16,합계,편,381,도착출발별
요일별,계,39038,B01,A01,M,Flight,T001,DT_920005_B002,운항,요일별 통계,200609,2020-11-16,합계,편,381,도착출발별
요일별,계,41734,B01,A01,M,Flight,T001,DT_920005_B002,운항,요일별 통계,200610,2020-11-16,합계,편,381,도착출발별
요일별,계,39918,B01,A01,M,Flight,T001,DT_920005_B002,운항,요일별 통계,200611,2020-11-16,합계,편,381,도착출발별
요일별,계,41682,B01,A01,M,Flight,T001,DT_920005_B002,운항,요일별 통계,200612,2020-11-16,합계,편,381,도착출발별
요일별,계,42309,B01,A01,M,Flight,T001,DT_920005_B002,운항,요일별 통계,200701,2020-11-16,합계,편,381,도착출발별
요일별,계,38610,B01,A01,M,Flight,T001,DT_920005_B002,운항,요일별 통계,200702,2020-11-16,합계,편,381,도착출발별
요일별,계,42176,B01,A01,M,Flight,T001,DT_920005_B002,운항,요일별 통계,200703,2020-11-16,합계,편,381,도착출발별
요일별,계,42754,B01,A01,M,Flight,T001,DT_920005_B002,운항,요일별 통계,200704,2020-11-16,합계,편,381,도착출발별
요일별,계,44611,B01,A01,M,Flight,T001,DT_920005_B002,운항,요일별 통계,200705,2020-11-16,합계,편,381,도착출발별
요일별,계,42678,B01,A01,M,Flight,T001,DT_920005_B002,운항,요일별 통계,200706,2020-11-16,합계,편,381,도착출발별
요일별,계,45404,B01,A01,M,Flight,T001,DT_920005_B002,운항,요일별 통계,200707,2020-11-16,합계,편,381,도착출발별
요일별,계,46589,B01,A01,M,Flight,T001,DT_920005_B002,운항,요일별 통계,200708,2020-11-16,합계,편,381,도착출발별
요일별,계,43138,B01,A01,M,Flight,T001,DT_920005_B002,운항,요일별 통계,200709,2020-11-16,합계,편,381,도착출발별
요일별,계,44498,B01,A01,M,Flight,T001,DT_920005_B002,운항,요일별 통계,200710,2020-11-16,합계,편,381,도착출발별
요일별,계,42914,B01,A01,M,Flight,T001,DT_920005_B002,운항,요일별 통계,200711,2020-11-16,합계,편,381,도착출발별
요일별,계,43932,B01,A01,M,Flight,T001,DT_920005_B002,운항,요일별 통계,200712,2020-11-16,합계,편,381,도착출발별
요일별,계,43882,B01,A01,M,Flight,T001,DT_920005_B002,운항,요일별 통계,200801,2020-11-16,합계,편,381,도착출발별
요일별,계,42359,B01,A01,M,Flight,T001,DT_920005_B002,운항,요일별 통계,200802,2020-11-16,합계,편,381,도착출발별
요일별,계,44810,B01,A01,M,Flight,T001,DT_920005_B002,운항,요일별 통계,200803,2020-11-16,합계,편,381,도착출발별
요일별,계,44132,B01,A01,M,Flight,T001,DT_920005_B002,운항,요일별 통계,200804,2020-11-16,합계,편,381,도착출발별
요일별,계,46129,B01,A01,M,Flight,T001,DT_920005_B002,운항,요일별 통계,200805,2020-11-16,합계,편,381,도착출발별
요일별,계,43160,B01,A01,M,Flight,T001,DT_920005_B002,운항,요일별 통계,200806,2020-11-16,합계,편,381,도착출발별
요일별,계,45560,B01,A01,M,Flight,T001,DT_920005_B002,운항,요일별 통계,200807,2020-11-16,합계,편,381,도착출발별
요일별,계,47351,B01,A01,M,Flight,T001,DT_920005_B002,운항,요일별 통계,200808,2020-11-16,합계,편,381,도착출발별
요일별,계,43298,B01,A01,M,Flight,T001,DT_920005_B002,운항,요일별 통계,200809,2020-11-16,합계,편,381,도착출발별
