destination,product_id,name,description,category,themes,departure_date,original_price,discount_price,airlines,duration,review_count,review_score,shopping_count,product_grade
목적지_A(다낭_추정),ASVNS09700,"다낭/호이안, 멜리아비치리조트,$300상당옵션포함, NO옵션, 3대 야경투어",#다낭패키지 #다낭가족여행 #다낭홈쇼핑 #다낭5성리조트 #다낭겨울방하 #다낭자유일정 #동남아여행 #겨울방학패키지,세미패키지,"야경투어, 아동동반, 가족, 효도, 테마파크, 휴양, 관광, 5성급, 친구/연인, 리조트",2026-04-09,599000,599000,"티웨이항공, 대한항공",3박 5일,271,4.6,3,플러스
목적지_A(다낭_추정),ASVNP21588,"다낭/호이안 4/5일, 5성급 멜리아비치리조트, 노옵션, 대한항공, 행복듬뿍 여행",#다낭여행 #가족여행 #멜리아비치리조트 #다낭패키지 #호이안여행,풀패키지,"관광+휴양, 가족, 휴양, 관광, 친구/연인",2026-04-07,699000,657060,대한항공,3박 5일,12,4.4,3,플러스
목적지_A(다낭_추정),ASVNP21432,"[W트립]다낭/호이안, 알란씨호텔,야경투어+오전자유1회+스톤마사지 포함",#다낭패키지 #다낭초특가패키지 #다낭5성호텔 #다낭알란씨 #패키기인기상품 #다낭가족여행 #다낭우정여행 #다낭W트립 #W트립,풀패키지,"관광+휴양, 테마파크, 5성급, 친구/연인",2026-04-09,399000,379050,"티웨이항공, 대한항공",3박 5일,62,4.4,3,베이직
목적지_A(다낭_추정),ASVNP21383,"다낭/호이안, NO옵션,NO가이드경비! 마사지 2회+호이안 전통카 포함, 더 꽉찬 여행",#다낭여행 #노옵션노팁패키지 #알란씨호텔 #5성급호텔 #가족여행패키지 #겨울방학여행,풀패키지,"야경투어, 관광+휴양, 가족, 효도, 테마파크, 5성급, 친구/연인",2026-04-09,579000,550050,"티웨이항공, 대한항공, 에어프레미아",3박 5일,16,4.4,3,플러스
목적지_A(다낭_추정),ASVNP22072,"다낭/호이안, 월드체인 노보텔, NO옵션, 오전자유1회+3대 야경,간식4종 포함",#노옵션 #$320상당혜택포함 #노보텔 다낭 프리미어 한 리버 #5성급호텔 #다낭가족여행 #다낭패키지 #홈쇼핑인기상품,풀패키지,"관광+휴양, 아동동반, 가족, 효도, 관광",2026-04-09,629000,591260,"티웨이항공, 대한항공",3박 5일,28,4.9,3,플러스
목적지_A(다낭_추정),ASVNP21331,"다낭/호이안, 골든베이호텔, 4인이상 코너스윗업그레이드, 노옵션, 필수일정 포함",#다낭골든베이 #다낭패키지 #다낭가족여행 #다낭특가 #다낭5성호텔 #동남아겨울방학 #동남아여름방학,풀패키지,"야경투어, 나홀로여행, 관광+휴양, 가족, 효도, 5성급, 친구/연인",2026-04-09,599000,569050,"티웨이항공, 대한항공, 에어프레미아",3박 5일,52,4.7,3,플러스
목적지_A(다낭_추정),ASVNP21411,"다낭/호이안 4/5일,멜리아 빈펄리버 리버뷰 업그레이드,최다혜택+오전자유1회",#다낭 #다낭여행 #다낭패키지 #빈펄리버프론트 #가족여행 #스시뷔페,풀패키지,"야경투어, 관광+휴양, 가족, 테마파크, 5성급, 친구/연인",2026-04-09,429000,407550,"티웨이항공, 대한항공",3박 5일,44,4.5,3,베이직
목적지_A(다낭_추정),ASVNP21386,"다낭/호이안 4/5일, 포포인츠쉐라톤호텔, 오전자유 1회+3대 야경+마켓+카페투어 포함",#다낭 #다낭여행 #다낭패키지 #포포인츠바이쉐라톤 #카페투어,풀패키지,"야경투어, 관광+휴양, 아동동반, 가족, 테마파크, 5성급, 친구/연인",2026-04-09,469000,445550,"티웨이항공, 대한항공",3박 5일,36,4.8,3,베이직
목적지_A(다낭_추정),ASVNP21364,"다낭/호이안 4/5일, 샌드비치리조트, 마사지 3회+마켓투어 3회 힐링여행",#다낭여행 #아시아나항공 #다낭패키지 #마사지3회 #힐링여행 #효도관광,풀패키지,"전통시장, 관광+휴양, 가족, 효도, 테마파크, 리조트",2026-04-09,449000,426550,"티웨이항공, 대한항공, 에어프레미아",3박 5일,24,4.8,3,베이직
목적지_A(다낭_추정),ASVNP23129,"다낭/호이안, 센터포인트호텔, NO옵션, NO노팁+4인이상 투베드스윗룸 업그레이드",#노옵션노팁 #마사지2회 #한시장방문 #씨클로 #한강유람선 #다낭가족여행,풀패키지,"아동동반, 가족, 효도, 휴양, 관광, 친구/연인",2026-04-09,599000,569050,티웨이항공,3박 5일,0,0.0,3,플러스
