상품ID,상품명,지역,별점,작성자,작성일,리뷰내용
ASVNS09700,"다낭/호이안, 멜리아비치리조트,$300상당옵션포함, NO옵션, 3대 야경투어",다낭,5,권*련,3월 15일,"친구랑 처음가는 여행이라 조금 걱정했는데 
패키지라 괜한 걱정이였어요 아무래도 짜여진 스케줄이라 조금 불편하고 힘든건 있지만 분위기 메이커 윈씨랑 수다쟁이 마상효님 덕분에 즐거운 여행이였네요 다음에는 엄마랑도 갈수 있을것 같네요😊
아. 리조트 조식 맛있어요 리조트 이뻐요~
소심한 대문자 I이는 패키지 괜찮습니다"
ASVNS09700,"다낭/호이안, 멜리아비치리조트,$300상당옵션포함, NO옵션, 3대 야경투어",다낭,5,김*미,3월 8일,"3/2~6 3박5일 우리 네자매가 해외여행은 처음으로 가게되었다. 노란색 네개의 캐리어를 구입해서 공항에서 주위의 집중을 받으며 즐거운 여행이 시작되었다. 
멜리아 비치리조트 호텔 전경이 아름다윘고 호텔식도 한국인을 위해 김치,고추장,흰죽을 준비해 놓은 것이 최고였다.
우리 큰언니가 몸이 불편하였는데 귀엽고 애교 많은 현지가이드 윈과 덱스 닮은 잘생긴 한국  마상효가이드님께서 신경을 써 주고 배려 덕분에 여행믈 마칠 수 있었습니다.
두 분 가이드 덕분에 즐겁고 행복한 여행이였습니다.
윈 아이와 함께 건강하고 마상효 가이드님도 잘먹고 살 좀 쩌서 건강하게 지내시길 기도합니다.
우리 딸 아들 같은 두분 다 사랑합니다."
ASVNS09700,"다낭/호이안, 멜리아비치리조트,$300상당옵션포함, NO옵션, 3대 야경투어",다낭,5,최*미,3월 3일,아이 둘이랑 함께하는 여행이라 패키지가 쉽지 않을거라 고민하다 누나 추천으로 도전한 여행이었는데 결과적으로 대만족에 감사함 가득 안고 돌아오게 되었습니다
ASVNS09700,"다낭/호이안, 멜리아비치리조트,$300상당옵션포함, NO옵션, 3대 야경투어",다낭,5,이*현,2월 21일,"2/1~5 3박 5일 일정으로 팔십이 넘으신 엄마를 모시고 딸들과 며느리가 다낭여행을 다녀왔습니다.
엄마가 패키지 여행을 잘 소화하실 수 있을까? 걱정하며 힘들면 몇군데 스킵하지하는 생각으로 여행길에 올랐습니다.
하지만 김영호가이드님의 세심한 배려와 친절로 한군데도 빠짐없이 여행일정을 마치게 되어 우선은 가이드님께 감사 인사를 전하고 싶습니다.
허리가 굽으셔서 오래 걷는게 부담이신 엄마를 휠체어에 태우고 끝까지 다낭 여행을 즐길 수 있도록 해주셔서 조금도 어려움과 부족함없이 편안하게 다낭과 호이안을 경험할 수 있었습니다.
또한 먹는것도 가는데마다 다 맛있어서 대만족이었습니다.
첫날 비바람으로 골든브릿지를 제대로 즐기지 못한 점이 아쉬워서 한번 더 가고싶다는 생각도 드네요.
다낭에서 사온 침향 잘 먹고 있는데 비싼만큼 좋겠죠?
커피필링제랑 재생크림. 노니치약도 너무 좋더라구요. 선물받은 가족 친지들도 좋다고 하네요^^
그리고 한팀으로 함께했던 다른 가족들도 너무 좋으신분들이어서 더더욱 감사했고 재미있었습니다.
암튼 모든게 편안하고 즐거웠던 여행이었습니다.
김영호가이드님 감사합니다!"
ASVNS09700,"다낭/호이안, 멜리아비치리조트,$300상당옵션포함, NO옵션, 3대 야경투어",다낭,5,성*옥,2월 2일,"우리부부랑 딸과 초등학생 5학년 1학년 손자들과 다낭여행
둘째날 딸이 열이 많이나서 호텔에 있고
우리부부랑 손자들과일정에 참석했다
에너지가 넘치는 애들을 보는건 쉽지 않았다
함께 여행 하는 우리 일행분들이 애들을 이뻐하면서
많이 도와 주었고 특히 현지가이드 린양이
우리 애들을 많이 챙겨 주었다
그리고 저녁에 우리팀 강대현가이드님이 딸과 소통해서
호이안으로 오게해서 아이들과 상봉하니
애들이 너무 좋아했네요
셋째날 바나힐 일정에 이번에는 작은손자가 배가 많이 아파
저녁에 유람선 일정을 포기하고 응급실 가야할 상황인가
고민했을때
강대현가이드님이 현명하게 대처해줘서
무리없이 여행일정을 마무리하고 왔어요
우리애들 많이 이뻐해준 엄마랑 같이온 예쁜 수학선생님
고맙다고 인사도 못했네요
그리고 강대현과장님 우리 가족때문에
스트레스 많이 받았을텐데 너무 미안합니다
마지막까지 사진까지 보내줘서 고마워요
결혼해서 행복하게 사세요"
ASVNS09700,"다낭/호이안, 멜리아비치리조트,$300상당옵션포함, NO옵션, 3대 야경투어",다낭,5,권*련,3월 15일,"친구랑 처음가는 여행이라 조금 걱정했는데 
패키지라 괜한 걱정이였어요 아무래도 짜여진 스케줄이라 조금 불편하고 힘든건 있지만 분위기 메이커 윈씨랑 수다쟁이 마상효님 덕분에 즐거운 여행이였네요 다음에는 엄마랑도 갈수 있을것 같네요😊
아. 리조트 조식 맛있어요 리조트 이뻐요~
소심한 대문자 I이는 패키지 괜찮습니다"
ASVNS09700,"다낭/호이안, 멜리아비치리조트,$300상당옵션포함, NO옵션, 3대 야경투어",다낭,5,김*미,3월 8일,"3/2~6 3박5일 우리 네자매가 해외여행은 처음으로 가게되었다. 노란색 네개의 캐리어를 구입해서 공항에서 주위의 집중을 받으며 즐거운 여행이 시작되었다. 
멜리아 비치리조트 호텔 전경이 아름다윘고 호텔식도 한국인을 위해 김치,고추장,흰죽을 준비해 놓은 것이 최고였다.
우리 큰언니가 몸이 불편하였는데 귀엽고 애교 많은 현지가이드 윈과 덱스 닮은 잘생긴 한국  마상효가이드님께서 신경을 써 주고 배려 덕분에 여행믈 마칠 수 있었습니다.
두 분 가이드 덕분에 즐겁고 행복한 여행이였습니다.
윈 아이와 함께 건강하고 마상효 가이드님도 잘먹고 살 좀 쩌서 건강하게 지내시길 기도합니다.
우리 딸 아들 같은 두분 다 사랑합니다."
ASVNS09700,"다낭/호이안, 멜리아비치리조트,$300상당옵션포함, NO옵션, 3대 야경투어",다낭,5,최*미,3월 3일,아이 둘이랑 함께하는 여행이라 패키지가 쉽지 않을거라 고민하다 누나 추천으로 도전한 여행이었는데 결과적으로 대만족에 감사함 가득 안고 돌아오게 되었습니다
ASVNS09700,"다낭/호이안, 멜리아비치리조트,$300상당옵션포함, NO옵션, 3대 야경투어",다낭,5,이*현,2월 21일,"2/1~5 3박 5일 일정으로 팔십이 넘으신 엄마를 모시고 딸들과 며느리가 다낭여행을 다녀왔습니다.
엄마가 패키지 여행을 잘 소화하실 수 있을까? 걱정하며 힘들면 몇군데 스킵하지하는 생각으로 여행길에 올랐습니다.
하지만 김영호가이드님의 세심한 배려와 친절로 한군데도 빠짐없이 여행일정을 마치게 되어 우선은 가이드님께 감사 인사를 전하고 싶습니다.
허리가 굽으셔서 오래 걷는게 부담이신 엄마를 휠체어에 태우고 끝까지 다낭 여행을 즐길 수 있도록 해주셔서 조금도 어려움과 부족함없이 편안하게 다낭과 호이안을 경험할 수 있었습니다.
또한 먹는것도 가는데마다 다 맛있어서 대만족이었습니다.
첫날 비바람으로 골든브릿지를 제대로 즐기지 못한 점이 아쉬워서 한번 더 가고싶다는 생각도 드네요.
다낭에서 사온 침향 잘 먹고 있는데 비싼만큼 좋겠죠?
커피필링제랑 재생크림. 노니치약도 너무 좋더라구요. 선물받은 가족 친지들도 좋다고 하네요^^
그리고 한팀으로 함께했던 다른 가족들도 너무 좋으신분들이어서 더더욱 감사했고 재미있었습니다.
암튼 모든게 편안하고 즐거웠던 여행이었습니다.
김영호가이드님 감사합니다!"
ASVNS09700,"다낭/호이안, 멜리아비치리조트,$300상당옵션포함, NO옵션, 3대 야경투어",다낭,5,성*옥,2월 2일,"우리부부랑 딸과 초등학생 5학년 1학년 손자들과 다낭여행
둘째날 딸이 열이 많이나서 호텔에 있고
우리부부랑 손자들과일정에 참석했다
에너지가 넘치는 애들을 보는건 쉽지 않았다
함께 여행 하는 우리 일행분들이 애들을 이뻐하면서
많이 도와 주었고 특히 현지가이드 린양이
우리 애들을 많이 챙겨 주었다
그리고 저녁에 우리팀 강대현가이드님이 딸과 소통해서
호이안으로 오게해서 아이들과 상봉하니
애들이 너무 좋아했네요
셋째날 바나힐 일정에 이번에는 작은손자가 배가 많이 아파
저녁에 유람선 일정을 포기하고 응급실 가야할 상황인가
고민했을때
강대현가이드님이 현명하게 대처해줘서
무리없이 여행일정을 마무리하고 왔어요
우리애들 많이 이뻐해준 엄마랑 같이온 예쁜 수학선생님
고맙다고 인사도 못했네요
그리고 강대현과장님 우리 가족때문에
스트레스 많이 받았을텐데 너무 미안합니다
마지막까지 사진까지 보내줘서 고마워요
결혼해서 행복하게 사세요"
ASVNP21432,"[W트립]다낭/호이안, 알란씨호텔,야경투어+오전자유1회+스톤마사지 포함",다낭,5,김*주,3월 4일,"2주 앞두고 진행하려니, 급하게 누르고 예약금은 걸었지만 숙소변경도 안되고 답답하긴했습니다.무튼 노옵션이 아닌것으로 선택한 저의 잘못을 깨달으며 옵션을 선택해서 진행되었구요.
그나마 다행인것이 누구누구 외 몇명이 아닌, 유홍열 이라는 이름으로 진행되는 패키지가 진행되었네요.
25명이 넘는 일행을 상대로... 시간에 딱딱 맞게, 지루하지 앉게, 정성을 다해 이끌어주신 두분의 가이드님 덕분에 즐거운 여행 마치고 돌아왔습니다. 유홍열가이드님, 린가이드님 제가 다낭을 또 방문한다면 연락드릴게요."
ASVNP21432,"[W트립]다낭/호이안, 알란씨호텔,야경투어+오전자유1회+스톤마사지 포함",다낭,5,손*수,2월 8일,"부모님, 저희 부부, 아이들까지 7명이 다녀온 다낭여행이었습니다.
3대가 만족하는 여행을 하기가 쉽지 않은데
저희가 원하는 바를 맞춰주기 위해 한국 가이드(정도원 부장님)께서 엄청 노력을 많이 해주셨습니다.
최적의 동선, 빈틈없는 스케쥴, 그러면서도 과하게 피곤하지 않도록 배려해주시는 게 느껴졌어요.
덕분에 3대 모두 즐거웠습니다.
현지 가이드도 열심히 사진 찍어주고, 설명도 해줘서 더 좋았습니다."
ASVNP21432,"[W트립]다낭/호이안, 알란씨호텔,야경투어+오전자유1회+스톤마사지 포함",다낭,5,오*혜,2025년 08월 08일,"이번 여름휴가 다낭으로 딸과 함께 잘 다녀왔습니다.
너무 재미 있었어요~
함께 여행하게된 모든 분들이 다 너무 좋은 분들이었고 일정도 힘든 것 없이 시원하고 좋았습니다.
울트라 사춘기를 겪고 있는 딸도 첫날에는 좀 힘들다고 툴툴거리더니 마지막 날에는 베트남 너무 재밌다고 며칠 더 있다 가자며... ㅠㅠ
특히 나영근 가이드님과 세나양이 너무 친절하고 꼼꼼하게 챙겨주시고 여러가지로 배려를 잘 해주셔서 정말 편안하고 즐거운 여행이었습니다!
특히 나영근 가이드님은 가수 차은우님을 완전 닮으셔서 감동이 2배 였습니다~
다음 휴가도 또 인터파크로 예약할께요!
감사합니당^^"
ASVNP21432,"[W트립]다낭/호이안, 알란씨호텔,야경투어+오전자유1회+스톤마사지 포함",다낭,5,신*희,2025년 04월 15일,"이번환갑여행총17명!
제데로힐링했습니다
이대왕!
이릉 그데로대왕님답게
맛있는음식에구석구석세심한설명에
감동이었습니다
칠순여행을기다려봅니다"
ASVNP21432,"[W트립]다낭/호이안, 알란씨호텔,야경투어+오전자유1회+스톤마사지 포함",다낭,5,이*숙,2025년 04월 12일,"안녕하세요
4월5일 결혼식을 올리고 첫 해외여행으로
선택한 다낭! 걱정이 많았는데 다낭에 도착하여
이규영 가이드를 만나고 안심이 놓으더라구요
한국에서 날씨 예보에는 비가 매일 잡혀 있었는데
여행하는 동안 비 일정이 맑음으로 바꾸는 날씨요정
첫 일정부터 마사지 너무 만족스러웠어요 넘 아프지도 않고 적당한 강도에 스르륵 잠이 피로가 싹 풀리더라구요 해외에서 김치찌개,삼겹살을 먹고 메뉴들도 한국식으로 식당 섭외도 완죤 짱!
호텔 및 상품도 다른 팀 4팀을 잘 통솔하시고, 시간 약속은 완죤 칼~~ 전날 내일 미팅 시간 등 일정을 톡으로 보내주는 센스쟁이~
저희 신혼부부는 저렴한 패키지상품으로 관광을 신청했는데 이규영 가이드님의 조율로 업 그레이드 된 상품으로 다양하게 볼거리,즐길거리 우리가 가보고 싶은거 다 누릴수 있어서 너무 행복 했습니다
4팀은 여행 3일차 마사지 2시간 받는동안 저희는 달라가 부족하여 빠졌는데 근처에 멋진 루포탑 다낭 시내가 한눈에 볼수있는곳에 사비를 들여 음료 한잔씩 사주시고 멋진 사진을 찍을수있게 배려에 감사합니다
신랑이랑 저는 한 직장에서 20년째 근무하면서 다람쥐 체바퀴 돌 듯 열심히 일하다가 신혼여행으로 첫 해외여행으로 선택 잘 했다는 생각이들고 힘들때 여기서 찍은 사진으로 한컷으로 그때를 생각하는 우리의 힐링이 되며 나중에 또 오고 싶은곳이네요
날씨 요정 이규영 가이드님을 또 만나고 싶네요^^
우리가 선택한 패키지보다 업 그레이드해준 상품으로
다양하게 즐기며 추억이 많이 생기고,
설명도 잘해주시고 낙오자를 잘 챙기시고,
아기자기한 소품을 우리팀 모두 챙겨주는 센스쟁이
감사했습니다 사진도 많이 찍어주시고
사진한장 못 찍어서 아쉬워요. 우리 다시만나요~
그때까지 몸건강히 잘 지내세요~
수분 보충도 잘하세요^^"
ASVNP21432,"[W트립]다낭/호이안, 알란씨호텔,야경투어+오전자유1회+스톤마사지 포함",다낭,5,김*주,3월 4일,"2주 앞두고 진행하려니, 급하게 누르고 예약금은 걸었지만 숙소변경도 안되고 답답하긴했습니다.무튼 노옵션이 아닌것으로 선택한 저의 잘못을 깨달으며 옵션을 선택해서 진행되었구요.
그나마 다행인것이 누구누구 외 몇명이 아닌, 유홍열 이라는 이름으로 진행되는 패키지가 진행되었네요.
25명이 넘는 일행을 상대로... 시간에 딱딱 맞게, 지루하지 앉게, 정성을 다해 이끌어주신 두분의 가이드님 덕분에 즐거운 여행 마치고 돌아왔습니다. 유홍열가이드님, 린가이드님 제가 다낭을 또 방문한다면 연락드릴게요."
ASVNP21432,"[W트립]다낭/호이안, 알란씨호텔,야경투어+오전자유1회+스톤마사지 포함",다낭,5,손*수,2월 8일,"부모님, 저희 부부, 아이들까지 7명이 다녀온 다낭여행이었습니다.
3대가 만족하는 여행을 하기가 쉽지 않은데
저희가 원하는 바를 맞춰주기 위해 한국 가이드(정도원 부장님)께서 엄청 노력을 많이 해주셨습니다.
최적의 동선, 빈틈없는 스케쥴, 그러면서도 과하게 피곤하지 않도록 배려해주시는 게 느껴졌어요.
덕분에 3대 모두 즐거웠습니다.
현지 가이드도 열심히 사진 찍어주고, 설명도 해줘서 더 좋았습니다."
ASVNP21432,"[W트립]다낭/호이안, 알란씨호텔,야경투어+오전자유1회+스톤마사지 포함",다낭,5,오*혜,2025년 08월 08일,"이번 여름휴가 다낭으로 딸과 함께 잘 다녀왔습니다.
너무 재미 있었어요~
함께 여행하게된 모든 분들이 다 너무 좋은 분들이었고 일정도 힘든 것 없이 시원하고 좋았습니다.
울트라 사춘기를 겪고 있는 딸도 첫날에는 좀 힘들다고 툴툴거리더니 마지막 날에는 베트남 너무 재밌다고 며칠 더 있다 가자며... ㅠㅠ
특히 나영근 가이드님과 세나양이 너무 친절하고 꼼꼼하게 챙겨주시고 여러가지로 배려를 잘 해주셔서 정말 편안하고 즐거운 여행이었습니다!
특히 나영근 가이드님은 가수 차은우님을 완전 닮으셔서 감동이 2배 였습니다~
다음 휴가도 또 인터파크로 예약할께요!
감사합니당^^"
ASVNP21432,"[W트립]다낭/호이안, 알란씨호텔,야경투어+오전자유1회+스톤마사지 포함",다낭,5,신*희,2025년 04월 15일,"이번환갑여행총17명!
제데로힐링했습니다
이대왕!
이릉 그데로대왕님답게
맛있는음식에구석구석세심한설명에
감동이었습니다
칠순여행을기다려봅니다"
ASVNP21432,"[W트립]다낭/호이안, 알란씨호텔,야경투어+오전자유1회+스톤마사지 포함",다낭,5,이*숙,2025년 04월 12일,"안녕하세요
4월5일 결혼식을 올리고 첫 해외여행으로
선택한 다낭! 걱정이 많았는데 다낭에 도착하여
이규영 가이드를 만나고 안심이 놓으더라구요
한국에서 날씨 예보에는 비가 매일 잡혀 있었는데
여행하는 동안 비 일정이 맑음으로 바꾸는 날씨요정
첫 일정부터 마사지 너무 만족스러웠어요 넘 아프지도 않고 적당한 강도에 스르륵 잠이 피로가 싹 풀리더라구요 해외에서 김치찌개,삼겹살을 먹고 메뉴들도 한국식으로 식당 섭외도 완죤 짱!
호텔 및 상품도 다른 팀 4팀을 잘 통솔하시고, 시간 약속은 완죤 칼~~ 전날 내일 미팅 시간 등 일정을 톡으로 보내주는 센스쟁이~
저희 신혼부부는 저렴한 패키지상품으로 관광을 신청했는데 이규영 가이드님의 조율로 업 그레이드 된 상품으로 다양하게 볼거리,즐길거리 우리가 가보고 싶은거 다 누릴수 있어서 너무 행복 했습니다
4팀은 여행 3일차 마사지 2시간 받는동안 저희는 달라가 부족하여 빠졌는데 근처에 멋진 루포탑 다낭 시내가 한눈에 볼수있는곳에 사비를 들여 음료 한잔씩 사주시고 멋진 사진을 찍을수있게 배려에 감사합니다
신랑이랑 저는 한 직장에서 20년째 근무하면서 다람쥐 체바퀴 돌 듯 열심히 일하다가 신혼여행으로 첫 해외여행으로 선택 잘 했다는 생각이들고 힘들때 여기서 찍은 사진으로 한컷으로 그때를 생각하는 우리의 힐링이 되며 나중에 또 오고 싶은곳이네요
날씨 요정 이규영 가이드님을 또 만나고 싶네요^^
우리가 선택한 패키지보다 업 그레이드해준 상품으로
다양하게 즐기며 추억이 많이 생기고,
설명도 잘해주시고 낙오자를 잘 챙기시고,
아기자기한 소품을 우리팀 모두 챙겨주는 센스쟁이
감사했습니다 사진도 많이 찍어주시고
사진한장 못 찍어서 아쉬워요. 우리 다시만나요~
그때까지 몸건강히 잘 지내세요~
수분 보충도 잘하세요^^"
ASVNP21383,"다낭/호이안, NO옵션,NO가이드경비! 마사지 2회+호이안 전통카 포함, 더 꽉찬 여행",다낭,5,진*영,1월 28일,"평소 자유여행을 선호하지만 아이들 포함 9명이 단체로 가기엔 패키지가가나을것 같아 여행지를 다낭으로 정하고 여러 상품을 검색하던중 노팁/노옵션에 끌려 예약하게 되었어요~
패키지에서 가장 중요하게 생각하는게 첫째! 새로운 사람들~
둘째가 좋은 가이드님인데 저는 정말 행운이였는지 이 두가지가
완벽한 사람들을 만나 정말 즐겁고 행복한 여행을 할수있었어요~
특히 윤창식 가이드님께는 특별히 더 고맙다라는 인사 를 하고싶네요~일정내내 세심하게 신경써주시고 여행객들의 요구조건도 항상 웃으며 흔쾌히 받아주시고 그리고 또 어쩌다 보니 여행 일정과 제 생일이 겹치게 되었는데 그걸 알게된 가이드님께서 몰래 생일 케잌을 준비해 주셔서 다낭에서 인생최고의 생일파티도 할수 있었네요~ㅎ 평생 잊지못할 추억 만들어주신 윤창식 가이드님 정말정말 감사합니다~??"
ASVNP21383,"다낭/호이안, NO옵션,NO가이드경비! 마사지 2회+호이안 전통카 포함, 더 꽉찬 여행",다낭,5,이*경,2025년 11월 15일,여행지와 여행을 함께하는 동행자도 중요하지만 패키지에서는 가이드을 잘 만나는 것 또한 중요하다고 생각합니다. 다낭 여행에서 만난 송호석 가이드님 덕분에 편안하고 즐거운 여행을 보내고 올 수 있어서 넘 좋았습니다^^
ASVNP21383,"다낭/호이안, NO옵션,NO가이드경비! 마사지 2회+호이안 전통카 포함, 더 꽉찬 여행",다낭,5,금*호,2025년 10월 29일,"부모님과 좋은시간 보내서 좋았습니다 가족여행으로 추천
다음 여행도 베트남 갈 마음이 생겼어요
다 함께 베트남 고고싱"
