YMD,STN_ID,LAT,LON,ALTD,TA_DAVG,TMX_DD,TMX_OCUR_TMA,TMN_DD,TMN_OCUR_TMA,MRNG_TMN,MRNG_TMN_OCUR_TMA,DYTM_TMX,DYTM_TMX_OCUR_TMA,NGHT_TMN,NGHT_TMN_OCUR_TMA
20250101,108,37.57142,126.96580,85.7,2.6,8.9,1540,-2.5,0441,-2.5,0441,8.9,1540,-2.9,0804
20250101,400,37.49820,127.08162,12.7,2.8,9.4,1427,-2.9,0338,-2.9,0338,9.4,1427,-3.0,0728
20250101,401,37.48462,127.02601,33.0,2.7,9.3,1445,-3.6,0357,-3.6,0357,9.3,1445,-2.4,0350
20250101,402,37.55556,127.14498,55.3,2.1,8.3,1414,-3.4,0259,-3.4,0301,8.3,1414,-2.8,0721
20250101,403,37.47426,127.12538,54.0,3.0,8.5,1407,-2.3,0130,-1.3,0306,8.5,1407,-2.0,0730
20250101,404,37.57390,126.82953,9.3,2.8,9.2,1408,-3.8,0221,-3.6,0316,9.2,1408,-4.1,0748
20250101,405,37.52823,126.87937,22.8,3.4,8.8,1435,-0.8,0258,-0.8,0303,8.8,1435,-1.6,0727
20250101,406,37.66557,127.03042,56.6,0.3,8.6,1455,-5.2,0307,-5.2,0307,8.6,1455,-5.4,0722
20250101,407,37.62186,127.09192,25.3,-0.2,8.0,1352,-7.2,0342,-7.2,0342,8.0,1352,-8.4,0707
20250101,408,37.58463,127.06036,54.0,2.7,8.4,1504,-2.3,0408,-2.3,0408,8.4,1504,-1.5,0657
20250101,409,37.58551,127.08682,39.1,2.9,8.2,1532,-2.1,0434,-2.1,0434,8.2,1532,-1.6,0810
20250101,410,37.49330,126.91746,41.8,1.7,7.8,1406,-3.5,0437,-3.5,0437,7.8,1406,-3.6,0619
20250101,411,37.55165,126.92915,100.7,2.6,7.6,1351,-0.7,0400,-0.7,0400,7.6,1351,-2.7,0656
20250101,412,37.57047,126.94078,103.1,2.0,7.7,1401,-2.4,0127,-2.1,0417,7.7,1401,-4.1,0717
20250101,413,37.53344,127.08601,29.9,3.2,8.9,1449,-1.8,0354,-1.8,0354,8.9,1449,-1.6,0716
20250101,414,37.61134,126.99981,128.6,1.8,7.7,1441,-2.8,0411,-2.8,0411,7.7,1441,-3.3,0739
20250101,415,37.51955,126.97629,31.7,2.8,8.7,1507,-2.8,0229,-2.7,0317,8.7,1507,-2.4,0603
20250101,416,37.64647,126.94273,55.0,-0.3,8.4,1345,-6.7,0157,-6.6,0304,8.4,1345,-8.1,0717
20250101,417,37.46551,126.90016,45.0,3.4,9.1,1358,-1.4,0306,-1.4,0306,9.1,1358,-1.4,0620
20250101,418,37.52489,126.93904,10.7,3.4,8.8,1410,-0.6,0259,-0.6,0301,8.8,1410,-1.8,0801
20250101,419,37.55236,126.98736,267.1,1.6,6.8,1346,-2.5,0504,-2.5,0504,6.8,1346,-3.4,0748
20250101,421,37.54721,127.03885,34.7,3.0,8.7,1415,-1.6,0441,-1.6,0441,8.7,1415,-0.9,0746
20250101,423,37.49328,126.82629,56.1,2.8,9.5,1406,-3.2,0235,-3.2,0301,9.5,1406,-3.4,0756
20250101,424,37.63801,127.00981,69.8,0.8,7.9,1414,-4.5,0445,-4.5,0445,7.9,1414,-4.4,0625
20250101,425,37.46347,126.98154,113.0,1.7,8.8,1358,-3.5,0221,-3.4,0309,8.8,1358,-3.8,0646
20250102,108,37.57142,126.96580,85.7,0.5,6.0,1507,-2.9,0804,-2.9,0804,6.0,1507,-5.1,0522
20250102,400,37.49820,127.08162,12.7,1.2,6.8,1338,-3.0,0728,-3.0,0728,6.8,1338,-3.3,0718
20250102,401,37.48462,127.02601,33.0,1.2,5.5,1401,-2.4,0350,-2.4,0350,5.5,1401,-3.2,0334
20250102,402,37.55556,127.14498,55.3,1.3,7.0,1501,-2.8,0721,-2.8,0721,7.0,1501,-5.3,0741
20250102,403,37.47426,127.12538,54.0,1.3,6.2,1450,-2.0,0730,-2.0,0730,6.2,1450,-4.1,0521
20250102,404,37.57390,126.82953,9.3,0.3,6.5,1414,-4.1,0748,-4.1,0748,6.5,1414,-6.3,0801
20250102,405,37.52823,126.87937,22.8,1.2,5.4,1436,-1.7,2355,-1.6,0727,5.4,1436,-3.4,0744
20250102,406,37.66557,127.03042,56.6,-0.6,8.9,1423,-5.4,0722,-5.4,0722,8.9,1423,-7.2,0519
20250102,407,37.62186,127.09192,25.3,-1.4,7.2,1442,-8.4,0707,-8.4,0707,7.2,1442,-10.5,0634
20250102,408,37.58463,127.06036,54.0,1.5,6.3,1441,-1.5,0657,-1.5,0657,6.3,1441,-3.8,0721
20250102,409,37.58551,127.08682,39.1,1.7,6.0,1445,-1.6,0810,-1.6,0810,6.0,1445,-3.9,0835
20250102,410,37.49330,126.91746,41.8,-0.6,4.7,1456,-3.7,2358,-3.6,0619,4.7,1456,-5.8,0728
20250102,411,37.55165,126.92915,100.7,-99.9,4.3,1421,-2.9,2359,-2.7,0656,4.3,1421,-5.4,0725
20250102,412,37.57047,126.94078,103.1,-0.6,5.0,1333,-4.1,0717,-4.1,0717,5.0,1333,-6.6,0703
20250102,413,37.53344,127.08601,29.9,1.8,6.6,1401,-1.6,0716,-1.6,0716,6.6,1401,-3.4,0720
20250102,414,37.61134,126.99981,128.6,0.6,5.1,1512,-3.3,0739,-3.3,0739,5.1,1512,-4.8,0238
20250102,415,37.51955,126.97629,31.7,1.1,5.8,1418,-2.4,0603,-2.4,0603,5.8,1418,-3.7,0344
20250102,416,37.64647,126.94273,55.0,-3.0,5.3,1427,-8.1,0717,-8.1,0717,5.3,1427,-10.5,0728
20250102,417,37.46551,126.90016,45.0,1.3,5.4,1457,-1.7,2356,-1.4,0620,5.4,1457,-3.4,0746
20250102,418,37.52489,126.93904,10.7,1.0,5.1,1415,-1.8,0801,-1.8,0801,5.1,1415,-3.6,0659
20250102,419,37.55236,126.98736,267.1,-0.6,3.1,1428,-4.3,0000,-3.4,0748,3.1,1428,-6.1,0809
20250102,421,37.54721,127.03885,34.7,1.6,6.5,1340,-1.4,2358,-0.9,0746,6.5,1340,-3.4,0628
20250102,423,37.49328,126.82629,56.1,0.6,6.1,1412,-3.4,0756,-3.4,0756,6.1,1412,-4.6,0705
20250102,424,37.63801,127.00981,69.8,-0.7,5.3,1435,-4.4,0625,-4.4,0625,5.3,1435,-5.8,0454
20250102,425,37.46347,126.98154,113.0,-99.9,6.1,1310,-3.8,0646,-3.8,0646,6.1,1310,-5.7,0653
20250103,108,37.57142,126.96580,85.7,-1.1,3.2,1551,-5.1,0522,-5.1,0522,3.2,1551,-5.4,0752
20250103,400,37.49820,127.08162,12.7,-0.5,3.4,1404,-3.3,0718,-3.3,0718,3.4,1404,-5.0,0741
20250103,401,37.48462,127.02601,33.0,-0.3,3.7,1458,-3.2,0334,-3.2,0334,3.7,1458,-5.3,0738
20250103,402,37.55556,127.14498,55.3,-0.8,2.9,1338,-5.3,0741,-5.3,0741,2.9,1338,-5.4,0753
20250103,403,37.47426,127.12538,54.0,-0.6,3.0,1438,-4.1,0521,-4.1,0521,3.0,1438,-4.7,0752
20250103,404,37.57390,126.82953,9.3,-0.8,3.2,1459,-6.3,0801,-6.3,0801,3.2,1459,-6.2,0750
20250103,405,37.52823,126.87937,22.8,-0.5,2.7,1454,-3.4,0744,-3.4,0744,2.7,1454,-3.5,0558
20250103,406,37.66557,127.03042,56.6,-2.3,2.7,1333,-7.2,0519,-7.2,0519,2.7,1333,-8.1,0801
20250103,407,37.62186,127.09192,25.3,-2.9,2.6,1422,-10.5,0634,-10.5,0634,2.6,1422,-10.0,0753
20250103,408,37.58463,127.06036,54.0,-0.5,2.9,1448,-3.8,0721,-3.8,0721,2.9,1448,-4.6,0756
20250103,409,37.58551,127.08682,39.1,-0.6,2.7,1319,-3.9,0835,-3.9,0835,2.7,1319,-4.7,0803
20250103,410,37.49330,126.91746,41.8,-2.5,1.8,1553,-5.8,0728,-5.8,0728,1.8,1553,-6.2,0756
20250103,411,37.55165,126.92915,100.7,-1.8,1.8,1542,-5.4,0725,-5.4,0725,1.8,1542,-4.6,0543
20250103,412,37.57047,126.94078,103.1,-2.4,2.1,1531,-6.6,0703,-6.6,0703,2.1,1531,-6.4,0728
20250103,413,37.53344,127.08601,29.9,-0.5,2.7,1315,-3.4,0720,-3.4,0720,2.7,1315,-4.0,0755
20250103,414,37.61134,126.99981,128.6,-1.6,1.8,1515,-4.8,0238,-4.8,0301,1.8,1515,-5.8,0724
20250103,415,37.51955,126.97629,31.7,-0.7,2.7,1442,-3.7,0344,-3.7,0344,2.7,1442,-5.2,0808
20250103,416,37.64647,126.94273,55.0,-4.2,2.3,1546,-10.5,0728,-10.5,0728,2.3,1546,-10.5,0737
20250103,417,37.46551,126.90016,45.0,-0.6,2.9,1449,-3.4,0746,-3.4,0746,2.9,1449,-3.9,0821
20250103,418,37.52489,126.93904,10.7,-0.7,3.2,1542,-3.6,0659,-3.6,0659,3.2,1542,-4.2,0717
20250103,419,37.55236,126.98736,267.1,-3.1,1.4,1401,-6.1,0809,-6.1,0809,1.4,1401,-5.8,0628
20250103,421,37.54721,127.03885,34.7,-0.6,2.8,1413,-3.4,0628,-3.4,0628,2.8,1413,-3.7,0755
20250103,423,37.49328,126.82629,56.1,-0.9,3.3,1519,-4.6,0705,-4.6,0705,3.3,1519,-6.1,0757
20250103,424,37.63801,127.00981,69.8,-1.9,1.9,1533,-5.8,0454,-5.8,0454,1.9,1533,-7.1,0718
20250103,425,37.46347,126.98154,113.0,-1.9,2.6,1424,-5.7,0653,-5.7,0653,2.6,1424,-6.4,0652
20250104,108,37.57142,126.96580,85.7,-0.1,5.7,1503,-5.4,0752,-5.4,0752,5.7,1503,-0.7,0109
20250104,400,37.49820,127.08162,12.7,0.1,5.7,1518,-5.0,0741,-5.0,0741,5.7,1518,-0.8,0820
20250104,401,37.48462,127.02601,33.0,-99.9,5.3,1319,-5.3,0738,-5.3,0738,5.3,1319,-1.6,0120
20250104,402,37.55556,127.14498,55.3,-0.1,4.9,1516,-5.4,0753,-5.4,0753,4.9,1516,-1.5,0854
20250104,403,37.47426,127.12538,54.0,0.1,5.2,1519,-4.7,0752,-4.7,0752,5.2,1519,-0.9,0838
20250104,404,37.57390,126.82953,9.3,-0.3,5.7,1520,-6.2,0750,-6.2,0750,5.7,1520,-0.4,2200
20250104,405,37.52823,126.87937,22.8,0.6,5.1,1445,-3.5,0558,-3.5,0558,5.1,1445,0.3,0829
20250104,406,37.66557,127.03042,56.6,-1.9,7.4,1439,-8.1,0801,-8.1,0801,7.4,1439,-3.0,2115
20250104,407,37.62186,127.09192,25.3,-2.3,4.9,1449,-10.0,0753,-10.0,0753,4.9,1449,-5.3,0142
